index,label,score
0,nominal,-3429
1,nominal,-5625
2,nominal,-3905
3,nominal,-5662
4,anomaly,-5538
5,nominal,-5223
6,nominal,-3698
7,nominal,-3340
8,nominal,-3163
9,nominal,-7392
10,nominal,-4152
11,nominal,-4379
12,nominal,-5980
13,nominal,-3279
14,nominal,-4085
15,nominal,-4679
16,nominal,-2859
17,nominal,-3489
18,nominal,-5159
19,nominal,-5062
20,nominal,-7897
21,nominal,-6666
22,nominal,-4483
23,anomaly,-1834
24,nominal,-5664
25,nominal,-6734
26,nominal,-6200
27,nominal,-6836
28,nominal,-9816
29,nominal,-3014
30,nominal,-4002
31,nominal,-5599
32,nominal,-5946
33,anomaly,-5296
34,nominal,-4533
35,nominal,-4579
36,nominal,-3389
37,nominal,-5007
38,nominal,-5677
39,nominal,-4974
40,nominal,-4137
41,nominal,-4317
42,nominal,-4761
43,nominal,-7525
44,anomaly,-3923
45,nominal,-5258
46,nominal,-4913
47,nominal,-3736
48,nominal,-4105
49,nominal,-6063
50,anomaly,-5989
51,nominal,-6236
52,anomaly,-8823
53,nominal,-2340
54,nominal,-6661
55,anomaly,-5357
56,nominal,-3088
57,nominal,-4017
58,nominal,-4340
59,nominal,-3843
60,nominal,-3898
61,nominal,-6545
62,anomaly,-7855
63,nominal,-4926
64,nominal,-4118
65,nominal,-5434
66,nominal,-5859
67,nominal,-6631
68,nominal,-5588
69,anomaly,-8664
70,nominal,-5091
71,nominal,-6497
72,nominal,-4173
73,nominal,-4436
74,nominal,-2833
75,nominal,-3149
76,nominal,-2470
77,anomaly,-7321
78,nominal,-2290
79,nominal,-5570
80,nominal,-4022
81,nominal,-8383
82,nominal,-8487
83,nominal,-3768
84,nominal,-3694
85,nominal,-5511
86,nominal,-1993
87,nominal,-3199
88,nominal,-3047
89,nominal,-3379
90,nominal,-7817
91,nominal,-7566
92,nominal,-4816
93,nominal,-4959
94,anomaly,-8974
95,anomaly,-7339
96,nominal,-8551
97,nominal,-5741
98,nominal,-7186
99,nominal,-5123
100,nominal,-4936
101,nominal,-7107
102,anomaly,-5098
103,nominal,-6227
104,anomaly,-5558
105,nominal,-3187
106,nominal,-3351
107,nominal,-5893
108,nominal,-5423
109,nominal,-5112
110,nominal,-7879
111,nominal,-2854
112,nominal,-5263
113,nominal,-5734
114,nominal,-7217
115,nominal,-2927
116,nominal,-5082
117,anomaly,-3714
118,nominal,-2698
119,nominal,-4673
120,nominal,-4921
121,nominal,-5370
122,nominal,-6394
123,anomaly,-5906
124,anomaly,-4920
