index,label,score
0,nominal,-2822
1,nominal,-2492
2,nominal,-2590
3,nominal,-2650
4,nominal,-2610
5,nominal,-2291
6,nominal,-942
7,nominal,-1954
8,nominal,-4024
9,nominal,-2538
10,nominal,-3010
11,nominal,-2143
12,nominal,-4352
13,nominal,-3105
14,nominal,-3913
15,nominal,-4175
16,nominal,-1729
17,nominal,-2263
18,nominal,-4059
19,nominal,-3625
20,nominal,-2149
21,nominal,-2598
22,nominal,-827
23,nominal,-3688
24,nominal,-2805
25,nominal,-3919
26,nominal,-1686
27,nominal,-2787
28,nominal,-3006
29,nominal,-1697
30,nominal,-4493
31,nominal,-2664
32,nominal,-2623
33,nominal,-3632
34,nominal,-2667
35,nominal,-3412
36,nominal,-3611
37,nominal,-6272
38,nominal,-3128
39,nominal,-2184
40,nominal,-3243
41,nominal,-4176
42,nominal,-2741
43,nominal,-6332
44,nominal,-4603
45,nominal,-1783
46,nominal,-3129
47,nominal,-4021
48,nominal,-4904
49,nominal,-1590
50,nominal,-3759
51,nominal,-2232
52,nominal,-2329
53,nominal,-2606
54,nominal,-1548
55,nominal,-1643
56,nominal,-1526
57,nominal,-2635
58,nominal,-1660
59,nominal,-2820
60,nominal,-2776
61,nominal,-3440
62,nominal,-2195
63,nominal,-3647
64,nominal,-2721
65,nominal,-2481
66,nominal,-5794
67,nominal,-2282
68,nominal,-4141
69,nominal,-1397
70,nominal,-2295
71,nominal,-2229
72,nominal,-2694
73,nominal,-2353
74,nominal,-4083
75,nominal,-4088
76,nominal,-3831
77,nominal,-4895
78,nominal,-2127
79,nominal,-2920
80,nominal,-2290
81,nominal,-4853
82,nominal,-2565
83,anomaly,-4519
84,nominal,-1932
85,nominal,-2442
86,anomaly,-5979
87,anomaly,-4420
88,nominal,-2296
89,nominal,-6054
90,nominal,-3682
91,nominal,-2406
92,nominal,-4313
93,nominal,-2720
94,nominal,-4740
95,nominal,-1625
96,nominal,-5926
97,nominal,-4076
98,nominal,-4028
99,nominal,-2502
100,nominal,-3708
101,nominal,-4096
102,nominal,-2295
103,nominal,-2243
104,nominal,-1716
105,nominal,-3473
106,nominal,-2963
107,nominal,-3818
108,nominal,-4183
109,nominal,-2861
110,nominal,-3157
111,nominal,-4880
112,nominal,-1849
113,nominal,-2136
114,nominal,-2857
115,nominal,-3603
116,nominal,-4121
117,nominal,-1568
118,nominal,-3176
119,nominal,-4675
120,nominal,-2493
121,nominal,-3603
122,nominal,-2687
123,nominal,-2445
124,nominal,-2978
125,nominal,-2490
126,nominal,-1490
127,nominal,-2263
128,nominal,-3316
129,anomaly,-4007
130,nominal,-4286
131,nominal,-2285
