index,label,score
0,nominal,-5982
1,nominal,-7339
2,nominal,-7535
3,nominal,-6894
4,nominal,-5994
5,nominal,-5681
6,nominal,-6534
7,nominal,-6958
8,nominal,-6681
9,nominal,-7675
10,nominal,-5855
11,nominal,-6456
12,nominal,-5168
13,nominal,-6749
14,nominal,-6467
15,nominal,-6410
16,nominal,-7159
17,nominal,-7826
18,nominal,-5685
19,nominal,-5844
20,nominal,-5343
21,nominal,-7427
22,nominal,-7332
23,nominal,-7653
24,nominal,-7807
25,nominal,-5877
26,nominal,-7396
27,nominal,-6038
28,nominal,-6057
29,nominal,-5654
30,nominal,-7224
31,nominal,-8036
32,nominal,-7551
33,nominal,-7051
34,nominal,-7146
35,nominal,-7858
36,nominal,-6243
37,nominal,-8114
38,nominal,-7017
39,nominal,-6013
40,nominal,-6157
41,nominal,-7757
42,nominal,-6800
43,nominal,-6417
44,nominal,-5882
45,nominal,-5512
46,nominal,-7359
47,nominal,-5920
48,nominal,-8038
49,nominal,-6951
50,nominal,-7703
51,nominal,-6118
52,nominal,-6159
53,nominal,-6716
54,nominal,-6174
55,nominal,-7308
56,nominal,-6129
57,nominal,-5935
58,nominal,-7016
59,nominal,-7365
60,nominal,-6693
61,nominal,-6191
62,nominal,-7512
63,nominal,-6274
64,nominal,-5497
65,nominal,-6535
66,nominal,-6910
67,nominal,-5620
68,nominal,-6493
69,nominal,-6481
70,nominal,-5872
71,nominal,-6179
72,nominal,-8023
73,nominal,-5844
74,nominal,-6441
75,nominal,-6083
76,nominal,-5999
77,nominal,-6923
78,nominal,-6586
79,nominal,-6071
80,nominal,-7614
81,nominal,-6421
82,nominal,-6114
83,nominal,-5842
84,nominal,-5763
85,nominal,-7304
86,nominal,-7748
87,nominal,-5960
88,nominal,-7033
89,nominal,-6636
90,nominal,-6567
91,nominal,-8765
92,nominal,-6053
93,nominal,-6636
94,nominal,-6854
95,nominal,-6496
96,nominal,-6741
97,nominal,-6717
98,nominal,-6209
99,nominal,-7591
100,nominal,-5299
101,nominal,-7930
102,nominal,-6115
103,nominal,-6324
104,nominal,-7216
105,nominal,-7511
106,nominal,-8263
107,nominal,-8156
108,nominal,-7957
109,nominal,-7641
110,nominal,-7304
111,nominal,-6765
112,nominal,-5962
113,nominal,-6199
114,nominal,-7156
115,nominal,-6343
116,nominal,-6076
117,nominal,-6906
118,nominal,-7695
119,nominal,-6728
120,nominal,-7138
121,nominal,-6677
122,nominal,-5988
123,nominal,-6962
124,nominal,-6789
125,nominal,-6870
126,nominal,-5243
127,nominal,-7083
128,nominal,-5649
129,nominal,-6936
130,nominal,-6744
131,nominal,-6451
132,nominal,-7180
133,nominal,-6107
134,nominal,-7749
135,nominal,-6763
136,nominal,-5503
137,nominal,-6538
138,nominal,-6288
139,nominal,-6167
140,nominal,-7754
141,nominal,-7171
142,nominal,-6735
143,nominal,-5713
144,nominal,-7155
145,nominal,-6427
146,nominal,-6657
147,nominal,-5594
148,nominal,-6528
149,nominal,-6735
150,nominal,-6181
151,nominal,-6220
152,nominal,-6304
153,nominal,-5918
154,nominal,-6642
155,nominal,-6354
156,nominal,-5126
157,nominal,-6893
158,nominal,-6421
159,nominal,-5761
160,nominal,-7077
161,nominal,-6363
162,nominal,-7530
163,nominal,-6352
164,nominal,-7138
165,nominal,-7322
166,nominal,-8052
167,nominal,-6984
168,nominal,-6224
169,nominal,-5825
170,nominal,-6235
171,nominal,-6845
172,nominal,-7384
173,nominal,-6334
174,nominal,-6430
175,nominal,-6767
176,nominal,-6729
177,nominal,-7562
178,nominal,-5625
179,nominal,-6964
180,nominal,-7111
181,nominal,-5447
182,nominal,-6540
183,nominal,-5669
184,nominal,-7150
185,nominal,-5898
186,nominal,-6350
187,nominal,-6848
188,nominal,-6450
189,nominal,-5586
190,nominal,-6596
191,nominal,-8576
192,nominal,-7207
193,nominal,-7076
194,nominal,-6531
195,nominal,-6390
196,nominal,-6873
197,nominal,-7401
198,nominal,-5994
199,nominal,-5507
200,nominal,-5868
201,nominal,-7044
202,nominal,-6566
203,nominal,-6852
204,nominal,-7354
205,nominal,-8365
206,nominal,-6673
207,nominal,-6468
208,nominal,-7356
209,nominal,-7270
210,nominal,-6942
211,nominal,-6104
212,nominal,-7056
213,nominal,-6239
214,nominal,-7592
215,nominal,-6650
216,nominal,-6021
217,nominal,-7357
218,nominal,-6184
219,nominal,-6979
220,nominal,-5888
221,nominal,-6061
222,nominal,-7502
223,nominal,-6010
224,nominal,-6340
225,nominal,-5755
226,nominal,-6064
227,nominal,-7197
228,nominal,-5796
229,nominal,-6679
230,nominal,-8428
231,nominal,-7411
232,nominal,-7535
233,nominal,-7855
234,nominal,-6910
235,nominal,-7076
236,nominal,-7421
237,nominal,-6256
238,nominal,-7078
239,nominal,-7560
240,nominal,-5683
241,nominal,-4911
242,nominal,-6986
243,nominal,-6401
244,nominal,-6115
245,nominal,-7206
246,nominal,-8178
247,nominal,-7342
248,nominal,-5553
249,nominal,-7369
250,nominal,-5465
251,nominal,-7122
252,nominal,-7121
253,nominal,-6698
254,nominal,-7339
255,nominal,-7767
256,nominal,-7089
257,nominal,-6061
258,nominal,-7274
259,nominal,-8031
260,nominal,-6328
261,nominal,-5764
262,nominal,-6953
263,nominal,-6915
264,nominal,-7561
265,nominal,-7389
266,nominal,-7724
267,nominal,-6842
268,nominal,-7028
269,nominal,-5941
270,nominal,-7065
271,nominal,-6784
272,nominal,-6530
273,nominal,-6667
274,nominal,-7179
275,nominal,-6779
276,nominal,-6961
277,nominal,-6707
278,nominal,-6391
279,nominal,-6993
280,nominal,-8497
281,nominal,-7369
282,nominal,-7561
283,nominal,-6108
284,nominal,-6943
285,nominal,-6453
286,nominal,-7560
287,nominal,-5449
288,nominal,-5958
289,nominal,-6980
290,nominal,-7346
291,nominal,-8086
292,nominal,-7010
293,nominal,-6640
294,nominal,-6387
295,nominal,-7704
296,nominal,-6804
297,nominal,-7269
298,nominal,-7220
299,nominal,-7321
300,nominal,-7208
301,nominal,-7304
302,nominal,-6536
303,nominal,-5849
304,nominal,-8476
305,nominal,-7936
306,nominal,-6666
307,nominal,-7369
308,nominal,-7608
309,nominal,-6119
310,nominal,-5955
311,nominal,-6549
312,nominal,-6445
313,nominal,-6205
314,nominal,-6923
315,nominal,-6256
316,nominal,-8481
317,nominal,-6652
318,nominal,-6530
319,nominal,-6191
320,nominal,-6810
321,nominal,-7604
322,nominal,-5282
323,nominal,-5746
324,nominal,-7235
325,nominal,-6448
326,nominal,-6683
327,nominal,-6357
328,nominal,-6272
329,nominal,-7600
330,nominal,-7386
331,nominal,-6449
332,nominal,-6458
333,nominal,-7986
334,nominal,-7085
335,nominal,-7494
336,nominal,-7261
337,nominal,-6540
338,nominal,-5180
339,nominal,-6097
340,nominal,-6005
341,nominal,-6506
342,nominal,-6514
343,nominal,-7655
344,nominal,-6470
345,nominal,-6522
346,nominal,-7119
347,nominal,-6016
348,nominal,-6704
349,nominal,-6728
350,nominal,-5897
351,nominal,-4431
352,nominal,-6907
353,nominal,-6581
354,nominal,-7301
355,nominal,-7062
356,nominal,-6308
357,nominal,-6319
358,nominal,-6194
359,nominal,-5878
360,nominal,-5609
361,nominal,-7082
362,nominal,-6878
363,nominal,-7188
364,nominal,-6240
365,nominal,-7082
366,nominal,-7157
367,nominal,-6731
368,nominal,-7653
369,nominal,-5883
370,nominal,-7383
371,nominal,-6013
372,nominal,-6188
373,nominal,-6868
374,nominal,-6374
375,nominal,-6755
376,nominal,-6247
377,nominal,-4513
378,nominal,-6658
379,nominal,-6698
380,nominal,-6767
381,nominal,-7252
382,nominal,-7004
383,nominal,-5627
384,nominal,-7015
385,nominal,-7025
386,nominal,-6257
387,nominal,-7199
388,nominal,-6440
389,nominal,-7380
390,nominal,-6547
391,nominal,-6949
392,nominal,-6001
393,nominal,-6371
394,nominal,-7213
395,nominal,-6027
396,nominal,-7165
