index,label,score
0,nominal,-17012
1,nominal,-17340
2,nominal,-16577
3,nominal,-16565
4,nominal,-15977
5,nominal,-14545
6,nominal,-15403
7,nominal,-17410
8,nominal,-18893
9,nominal,-19210
10,nominal,-15788
11,nominal,-17721
12,anomaly,-22029
13,nominal,-16321
14,nominal,-20600
15,nominal,-16221
16,nominal,-16165
17,nominal,-15656
18,nominal,-17243
19,nominal,-16428
20,nominal,-15144
21,nominal,-19425
22,nominal,-17905
23,nominal,-19917
24,nominal,-13465
25,nominal,-15008
26,anomaly,-18843
27,nominal,-18198
28,nominal,-17657
29,nominal,-13321
30,nominal,-13114
31,nominal,-17695
32,nominal,-15823
33,nominal,-19606
34,nominal,-17214
35,nominal,-14746
36,nominal,-17709
37,nominal,-14815
38,nominal,-20099
39,nominal,-18903
40,nominal,-20694
41,anomaly,-26539
42,nominal,-17170
43,nominal,-15583
44,nominal,-18230
45,nominal,-17253
46,nominal,-15271
47,anomaly,-22786
48,nominal,-18372
49,anomaly,-19938
50,nominal,-21626
51,anomaly,-19038
52,nominal,-17072
53,anomaly,-19895
54,nominal,-18951
55,nominal,-15173
56,nominal,-15662
57,nominal,-13778
58,nominal,-20594
59,nominal,-17721
60,nominal,-18650
61,nominal,-18047
62,nominal,-18770
63,nominal,-17461
64,nominal,-15201
65,nominal,-15669
66,nominal,-18172
67,nominal,-20021
68,nominal,-15272
69,nominal,-14185
70,nominal,-18694
71,nominal,-20065
72,nominal,-21682
73,nominal,-17793
74,anomaly,-17750
75,nominal,-17363
76,nominal,-16965
77,nominal,-19146
78,nominal,-18033
79,nominal,-18414
80,nominal,-20752
81,nominal,-15352
82,nominal,-17759
83,nominal,-17071
84,nominal,-20554
85,nominal,-16664
86,anomaly,-17335
87,nominal,-20635
88,nominal,-17590
89,nominal,-18939
90,nominal,-17371
91,nominal,-17429
92,nominal,-16595
93,nominal,-17421
94,nominal,-15139
95,nominal,-17218
96,nominal,-14736
97,nominal,-15765
98,nominal,-14140
99,nominal,-17419
100,anomaly,-23751
101,nominal,-18603
102,nominal,-17542
103,nominal,-16649
104,nominal,-17051
105,nominal,-15571
106,nominal,-19062
107,anomaly,-24307
108,anomaly,-17769
109,nominal,-18651
110,nominal,-18956
111,nominal,-15941
112,nominal,-16578
113,nominal,-19732
114,nominal,-16588
115,nominal,-15166
116,nominal,-18121
117,nominal,-16350
118,nominal,-16417
119,nominal,-16339
120,nominal,-18543
121,nominal,-15191
122,nominal,-19757
123,nominal,-17846
124,nominal,-14006
125,anomaly,-21218
126,nominal,-15259
127,nominal,-16119
128,nominal,-15134
129,nominal,-21179
130,nominal,-19378
131,nominal,-15383
132,nominal,-16887
133,anomaly,-23568
134,nominal,-13707
135,nominal,-17883
136,nominal,-17516
137,nominal,-15591
138,nominal,-17957
139,anomaly,-22425
140,nominal,-15053
141,nominal,-17191
142,nominal,-18126
143,nominal,-16897
144,nominal,-17452
145,nominal,-19256
146,nominal,-15321
147,nominal,-19101
148,nominal,-17787
149,nominal,-16567
150,nominal,-14750
151,nominal,-13801
152,nominal,-18724
153,nominal,-18964
154,nominal,-18195
155,anomaly,-23673
156,nominal,-18509
157,nominal,-15071
158,nominal,-18922
159,anomaly,-23505
160,nominal,-15152
161,nominal,-17790
162,anomaly,-17726
163,nominal,-17779
164,nominal,-18262
165,nominal,-14375
166,nominal,-17776
167,anomaly,-18438
