index,label,score
0,anomaly,-12811
1,nominal,-12090
2,nominal,-11672
3,nominal,-13062
4,nominal,-12867
5,nominal,-10556
6,nominal,-11645
7,nominal,-11311
8,anomaly,-13207
9,nominal,-11159
10,nominal,-11505
11,nominal,-12454
12,nominal,-12838
13,nominal,-11803
14,nominal,-13046
15,nominal,-11552
16,nominal,-11652
17,nominal,-11298
18,anomaly,-16641
19,nominal,-11961
20,nominal,-11481
21,nominal,-13943
22,nominal,-12614
23,nominal,-12944
24,nominal,-10547
25,nominal,-10443
26,nominal,-11289
27,nominal,-11801
28,nominal,-11600
29,nominal,-10931
30,nominal,-10689
31,nominal,-13420
32,nominal,-11851
33,nominal,-11266
34,nominal,-10955
35,nominal,-10446
36,nominal,-10757
37,anomaly,-14433
38,nominal,-13172
39,nominal,-13837
40,nominal,-13131
41,nominal,-11553
42,nominal,-13989
43,nominal,-10629
44,nominal,-12312
45,nominal,-11733
46,nominal,-11413
47,nominal,-14459
48,nominal,-12193
49,nominal,-11315
50,nominal,-11484
51,nominal,-11373
52,nominal,-12626
53,nominal,-10987
54,nominal,-12637
55,nominal,-13955
56,nominal,-11382
57,nominal,-12764
58,nominal,-12317
59,nominal,-13346
60,nominal,-12948
61,nominal,-11265
62,nominal,-12859
63,nominal,-10997
64,nominal,-12798
65,nominal,-11173
66,nominal,-12832
67,nominal,-12673
68,anomaly,-16120
69,nominal,-10819
70,nominal,-11784
71,nominal,-12972
72,nominal,-13117
73,nominal,-12126
74,nominal,-13080
75,nominal,-11914
76,nominal,-12997
77,nominal,-11146
78,nominal,-11984
79,anomaly,-13345
80,anomaly,-14434
81,nominal,-11059
82,nominal,-11732
83,nominal,-12233
84,anomaly,-11526
85,nominal,-11547
86,nominal,-12971
87,nominal,-12142
88,nominal,-11821
89,nominal,-11513
90,nominal,-11533
91,nominal,-13353
92,nominal,-11902
93,nominal,-12934
94,anomaly,-13828
95,anomaly,-12924
96,nominal,-10880
97,nominal,-11872
98,nominal,-9308
99,nominal,-13461
100,nominal,-12916
101,nominal,-12699
102,nominal,-12074
103,nominal,-10764
104,nominal,-11319
105,nominal,-12148
106,nominal,-13281
107,nominal,-13294
108,nominal,-12045
109,nominal,-11765
110,nominal,-13361
111,nominal,-10838
112,nominal,-11970
113,nominal,-11967
114,nominal,-12292
115,nominal,-11201
116,nominal,-10734
117,nominal,-9819
118,nominal,-10789
119,nominal,-11149
120,nominal,-12705
121,nominal,-10264
122,nominal,-12444
123,anomaly,-10866
124,nominal,-10167
125,nominal,-11652
126,nominal,-11994
127,anomaly,-14469
128,nominal,-10124
129,nominal,-10559
130,nominal,-12554
131,nominal,-11013
132,nominal,-13032
133,nominal,-12099
134,nominal,-13464
135,nominal,-13601
136,nominal,-12140
137,nominal,-12381
138,nominal,-11179
139,nominal,-12193
140,nominal,-12095
141,nominal,-11877
142,nominal,-11921
143,nominal,-12006
144,anomaly,-13430
145,nominal,-14611
146,anomaly,-13030
147,nominal,-11984
148,nominal,-12599
149,nominal,-12194
150,nominal,-9404
151,nominal,-10183
152,nominal,-13007
153,nominal,-14603
154,nominal,-11688
155,nominal,-12386
156,nominal,-11585
157,anomaly,-12554
158,nominal,-12413
159,nominal,-12923
160,nominal,-10869
161,nominal,-11333
162,nominal,-11538
163,nominal,-12193
164,nominal,-11323
165,anomaly,-12714
166,nominal,-11227
167,nominal,-11860
168,nominal,-11075
169,nominal,-12669
170,anomaly,-11810
171,nominal,-10635
172,nominal,-14119
173,nominal,-12003
174,nominal,-12396
175,nominal,-12819
176,nominal,-11916
177,nominal,-13136
178,nominal,-10369
179,nominal,-12823
180,nominal,-12573
181,nominal,-11949
182,nominal,-11504
183,nominal,-10722
184,anomaly,-11717
185,nominal,-11726
186,nominal,-12626
187,nominal,-10968
188,nominal,-13204
189,anomaly,-13227
190,nominal,-12921
191,nominal,-11634
192,nominal,-11688
193,anomaly,-12204
194,nominal,-12824
195,nominal,-11884
196,nominal,-12009
197,nominal,-11442
198,nominal,-11702
199,nominal,-12222
200,anomaly,-12173
201,nominal,-13291
202,nominal,-11418
203,nominal,-11157
204,nominal,-11222
205,nominal,-13555
206,nominal,-10033
207,nominal,-13585
208,nominal,-11516
209,nominal,-12189
210,anomaly,-14430
211,nominal,-11548
212,nominal,-12070
213,nominal,-11084
214,nominal,-11451
215,nominal,-14321
216,nominal,-12841
217,nominal,-11580
218,nominal,-11423
219,nominal,-12181
220,nominal,-10376
221,nominal,-13193
222,nominal,-12025
223,nominal,-13188
224,nominal,-10419
225,nominal,-12094
226,nominal,-12813
227,anomaly,-13403
228,nominal,-13130
229,nominal,-12624
230,nominal,-13166
231,nominal,-12200
232,nominal,-12003
233,nominal,-12927
234,nominal,-12951
235,nominal,-12335
236,nominal,-11958
237,nominal,-11847
238,nominal,-11214
239,nominal,-10800
240,nominal,-12820
241,nominal,-12910
242,nominal,-12155
243,nominal,-11642
244,nominal,-12738
245,nominal,-11341
246,nominal,-11677
247,nominal,-10974
248,nominal,-10771
249,nominal,-11101
250,nominal,-12867
251,nominal,-11489
252,nominal,-13162
253,nominal,-12237
254,nominal,-13210
255,nominal,-11972
256,nominal,-12698
257,nominal,-12476
258,nominal,-11711
259,nominal,-12145
260,nominal,-13281
261,nominal,-11839
262,nominal,-11116
263,nominal,-12232
264,nominal,-11368
265,nominal,-10707
266,nominal,-12490
267,nominal,-10762
268,nominal,-10921
269,nominal,-10778
270,nominal,-11911
271,nominal,-12360
272,nominal,-12211
273,anomaly,-14630
274,nominal,-12237
275,nominal,-10993
276,anomaly,-14056
277,nominal,-12386
278,anomaly,-15759
279,nominal,-12941
280,nominal,-10922
281,nominal,-13057
282,anomaly,-12398
283,nominal,-10727
284,nominal,-12268
285,nominal,-11936
286,nominal,-13357
287,nominal,-10893
288,nominal,-12576
289,nominal,-11313
290,nominal,-12804
291,nominal,-11705
292,nominal,-13166
293,nominal,-11140
294,nominal,-12431
295,nominal,-9960
296,nominal,-11896
297,nominal,-12732
298,nominal,-11359
299,nominal,-13114
300,nominal,-13624
301,nominal,-10733
302,nominal,-11505
303,nominal,-10433
304,nominal,-12845
305,nominal,-13419
306,nominal,-12208
307,nominal,-12726
308,nominal,-11685
309,nominal,-11085
310,nominal,-10919
311,nominal,-12174
312,nominal,-10649
313,nominal,-12199
314,nominal,-10895
315,nominal,-11089
316,nominal,-12527
317,nominal,-11898
318,nominal,-10866
319,nominal,-10866
320,nominal,-10634
321,nominal,-11749
322,nominal,-13237
323,nominal,-12301
324,nominal,-12816
325,nominal,-10012
326,nominal,-12863
327,nominal,-12739
328,nominal,-12660
329,nominal,-11857
330,nominal,-11269
331,nominal,-12752
332,nominal,-12466
333,anomaly,-12504
334,nominal,-12732
335,anomaly,-13169
336,anomaly,-11964
337,nominal,-12694
338,nominal,-11458
339,nominal,-12939
340,nominal,-12353
341,nominal,-13235
342,nominal,-10823
343,nominal,-12805
344,nominal,-11754
345,nominal,-11800
346,nominal,-10854
347,nominal,-11616
348,nominal,-10802
349,anomaly,-13588
350,nominal,-12394
351,nominal,-12187
352,nominal,-11101
353,nominal,-12756
354,nominal,-13068
355,anomaly,-14006
356,nominal,-12288
357,nominal,-12002
358,nominal,-12033
359,nominal,-11179
360,anomaly,-12315
361,nominal,-12498
362,nominal,-12905
363,nominal,-12852
364,nominal,-11372
365,nominal,-10049
366,nominal,-13063
367,nominal,-11579
368,nominal,-11321
369,nominal,-11698
370,nominal,-11557
371,nominal,-10591
372,nominal,-12018
373,nominal,-13338
374,nominal,-11705
375,nominal,-12597
376,nominal,-13406
377,nominal,-12637
378,nominal,-12481
379,nominal,-12457
380,anomaly,-14128
381,nominal,-10223
382,nominal,-13347
383,nominal,-11614
384,nominal,-9988
385,nominal,-12770
386,nominal,-11549
387,nominal,-11699
388,anomaly,-13719
389,nominal,-11928
390,nominal,-13247
391,nominal,-12518
392,nominal,-10071
393,nominal,-11365
394,nominal,-12416
395,nominal,-11083
396,nominal,-10369
397,nominal,-13084
398,nominal,-11678
399,nominal,-10607
400,nominal,-10483
401,nominal,-12651
402,anomaly,-16589
403,anomaly,-13127
404,nominal,-11902
405,nominal,-11698
406,nominal,-13146
407,nominal,-12060
408,nominal,-12232
409,nominal,-13075
410,nominal,-11432
411,nominal,-11261
412,anomaly,-11829
413,nominal,-11878
414,nominal,-10938
415,nominal,-12992
416,nominal,-13417
417,nominal,-12189
418,nominal,-12702
419,nominal,-11848
420,nominal,-10392
421,nominal,-12497
422,nominal,-12542
423,nominal,-10850
424,anomaly,-10859
425,nominal,-13614
426,nominal,-10412
427,nominal,-11757
428,nominal,-12977
429,nominal,-11796
430,nominal,-10200
431,nominal,-11878
