index,label,score
0,nominal,-13210
1,nominal,-19776
2,anomaly,-17772
3,nominal,-15379
4,nominal,-15572
5,nominal,-16417
6,nominal,-17292
7,nominal,-14686
8,nominal,-17657
9,nominal,-20227
10,nominal,-16883
11,nominal,-17505
12,nominal,-18591
13,nominal,-18390
14,nominal,-20382
15,nominal,-17457
16,nominal,-15094
17,nominal,-18708
18,nominal,-15594
19,nominal,-17343
20,nominal,-16346
21,nominal,-17466
22,nominal,-16250
23,nominal,-21718
24,nominal,-15149
25,nominal,-18076
26,nominal,-16597
27,nominal,-18573
28,nominal,-17110
29,nominal,-13972
30,nominal,-14481
31,nominal,-16111
32,nominal,-18742
33,nominal,-17950
34,nominal,-17307
35,nominal,-16036
36,nominal,-18543
37,nominal,-17229
38,anomaly,-21849
39,nominal,-17303
40,nominal,-18975
41,nominal,-20719
42,nominal,-17449
43,nominal,-15597
44,nominal,-16225
45,nominal,-17495
46,nominal,-15473
47,nominal,-20839
48,nominal,-15329
49,nominal,-14732
50,anomaly,-21495
51,nominal,-20330
52,nominal,-15457
53,nominal,-18838
54,nominal,-17699
55,nominal,-14525
56,nominal,-17714
57,nominal,-14333
58,nominal,-18587
59,nominal,-16519
60,nominal,-20232
61,nominal,-18013
62,nominal,-17185
63,anomaly,-21736
64,nominal,-15383
65,nominal,-15154
66,nominal,-20415
67,anomaly,-22892
68,nominal,-15048
69,nominal,-14413
70,nominal,-19277
71,nominal,-20127
72,anomaly,-22008
73,nominal,-17008
74,nominal,-18219
75,nominal,-16622
76,nominal,-17786
77,nominal,-22916
78,nominal,-15698
79,nominal,-17414
80,nominal,-15809
81,nominal,-16474
82,nominal,-15744
83,anomaly,-21045
84,nominal,-21017
85,nominal,-14964
86,nominal,-17264
87,nominal,-19685
88,nominal,-17689
89,anomaly,-19443
90,nominal,-19639
91,nominal,-16110
92,nominal,-18680
93,anomaly,-21435
94,nominal,-17959
95,nominal,-15877
96,nominal,-17470
97,nominal,-15851
98,nominal,-13649
99,nominal,-18723
100,nominal,-20297
101,nominal,-16893
102,nominal,-17505
103,nominal,-17341
104,anomaly,-17515
105,nominal,-15013
106,nominal,-19250
107,nominal,-23259
108,nominal,-17362
109,nominal,-16973
110,nominal,-16764
111,nominal,-14066
112,nominal,-14833
113,nominal,-15808
114,nominal,-15438
115,nominal,-12765
116,nominal,-18184
117,nominal,-15301
118,nominal,-16420
119,nominal,-18402
120,nominal,-17247
121,nominal,-14637
122,nominal,-20749
123,nominal,-17992
124,nominal,-14153
125,nominal,-16066
126,nominal,-14955
127,nominal,-17444
128,nominal,-14082
129,anomaly,-22660
130,nominal,-18046
131,nominal,-14686
132,nominal,-17680
133,nominal,-15805
134,nominal,-15546
135,nominal,-16848
136,nominal,-17874
137,nominal,-13640
138,nominal,-17918
139,nominal,-21409
140,nominal,-16492
141,nominal,-16948
142,nominal,-18099
143,nominal,-16352
144,nominal,-16308
145,nominal,-16956
146,nominal,-13421
147,anomaly,-20322
148,nominal,-16755
149,nominal,-18179
150,nominal,-15673
151,nominal,-13697
152,anomaly,-20351
153,nominal,-16953
154,nominal,-18963
155,nominal,-17951
156,nominal,-19251
157,nominal,-13757
158,nominal,-19212
159,nominal,-24504
160,nominal,-17621
161,nominal,-20753
162,nominal,-18593
163,nominal,-18929
164,anomaly,-20295
165,nominal,-11616
166,nominal,-21583
167,nominal,-19399
168,anomaly,-18003
169,nominal,-19061
170,nominal,-18672
171,nominal,-14666
172,nominal,-17340
173,nominal,-17102
174,nominal,-15696
175,nominal,-16564
176,nominal,-16584
177,nominal,-17039
178,nominal,-15892
179,nominal,-14204
180,nominal,-19141
181,nominal,-16083
182,anomaly,-23560
183,nominal,-18630
184,nominal,-13685
185,nominal,-14214
186,nominal,-17301
187,nominal,-18666
188,nominal,-19582
189,nominal,-16029
190,nominal,-17279
191,nominal,-16041
192,nominal,-15896
193,nominal,-15911
194,nominal,-17699
195,nominal,-14750
196,nominal,-14728
197,anomaly,-20898
198,nominal,-21253
199,nominal,-15291
200,nominal,-18580
201,nominal,-17639
202,nominal,-20087
203,anomaly,-21614
204,nominal,-17660
205,nominal,-16507
206,nominal,-17092
207,nominal,-18604
208,nominal,-21215
209,anomaly,-23516
210,nominal,-17598
211,nominal,-15566
212,anomaly,-20213
213,anomaly,-19943
214,nominal,-17162
215,nominal,-18304
216,nominal,-17241
217,nominal,-17845
218,nominal,-16264
219,nominal,-17025
220,nominal,-13494
221,nominal,-23306
222,nominal,-15991
223,nominal,-19098
224,nominal,-14619
225,nominal,-14439
226,nominal,-15671
227,nominal,-16801
228,nominal,-18111
229,nominal,-16158
230,nominal,-17354
231,nominal,-18423
232,nominal,-18000
233,nominal,-18160
234,nominal,-13620
235,nominal,-16934
236,nominal,-17780
237,nominal,-15189
238,anomaly,-23682
239,nominal,-16040
240,nominal,-14794
241,nominal,-18749
242,anomaly,-18472
243,nominal,-15843
244,nominal,-14116
245,nominal,-16576
246,anomaly,-17439
247,nominal,-14431
248,nominal,-19445
249,nominal,-16699
250,nominal,-15057
251,nominal,-18126
252,nominal,-19111
253,anomaly,-19813
254,nominal,-17879
255,nominal,-22694
256,nominal,-18172
257,nominal,-16066
258,nominal,-14627
259,nominal,-18493
260,nominal,-19468
261,nominal,-16339
262,nominal,-18286
263,nominal,-14923
264,nominal,-17298
265,nominal,-14693
266,nominal,-16297
267,nominal,-17095
268,nominal,-17930
269,anomaly,-19618
270,anomaly,-23640
271,nominal,-19606
272,nominal,-17447
273,nominal,-16611
274,nominal,-18181
275,nominal,-21503
276,nominal,-15649
277,nominal,-15977
278,nominal,-15575
279,nominal,-22799
280,nominal,-18931
281,nominal,-16695
282,nominal,-18922
283,nominal,-15863
284,nominal,-18270
285,nominal,-19302
286,nominal,-17115
287,nominal,-15273
288,nominal,-16480
289,nominal,-17693
290,nominal,-19817
291,nominal,-21181
292,nominal,-16622
293,anomaly,-21482
294,nominal,-15393
295,anomaly,-17237
296,nominal,-15726
297,nominal,-18020
298,nominal,-14615
299,nominal,-19036
300,nominal,-16544
301,nominal,-17167
302,nominal,-19539
303,nominal,-16000
304,nominal,-18197
305,nominal,-19410
306,nominal,-18525
307,nominal,-21186
308,nominal,-14548
309,nominal,-14330
310,nominal,-15399
311,nominal,-20056
312,nominal,-14442
313,anomaly,-22328
314,anomaly,-20528
315,nominal,-16030
316,anomaly,-18223
317,anomaly,-26609
318,nominal,-17429
319,anomaly,-22061
320,nominal,-14010
321,nominal,-19131
322,anomaly,-21835
323,nominal,-17662
324,nominal,-19364
325,nominal,-15101
326,nominal,-18432
327,nominal,-17128
328,nominal,-13769
329,nominal,-16800
330,nominal,-16348
331,nominal,-20565
332,nominal,-16641
333,nominal,-15852
334,nominal,-20548
335,nominal,-20877
336,nominal,-14354
337,nominal,-17792
338,nominal,-15476
339,nominal,-17870
340,nominal,-16918
341,nominal,-14801
342,nominal,-20986
343,nominal,-19989
344,nominal,-20902
345,nominal,-16145
346,nominal,-16454
347,nominal,-15907
348,nominal,-17608
349,nominal,-14254
350,nominal,-17064
351,nominal,-17699
352,nominal,-19118
353,nominal,-20879
354,nominal,-16268
355,nominal,-14391
356,nominal,-17840
357,nominal,-15077
358,anomaly,-27413
359,nominal,-16032
360,nominal,-14208
361,nominal,-18798
362,nominal,-16469
363,nominal,-21464
364,nominal,-16282
365,nominal,-13299
366,nominal,-20355
367,anomaly,-23236
368,nominal,-16214
369,nominal,-15682
370,anomaly,-26638
371,nominal,-17511
372,nominal,-18825
373,nominal,-19256
374,nominal,-17218
375,nominal,-17908
376,nominal,-20671
377,nominal,-20051
378,nominal,-18183
379,nominal,-16441
380,nominal,-19099
381,nominal,-13065
382,nominal,-18489
383,nominal,-18758
384,nominal,-14094
385,nominal,-19330
386,nominal,-17304
387,nominal,-16150
388,nominal,-20989
389,nominal,-18159
390,nominal,-16799
391,nominal,-20054
392,nominal,-18058
393,anomaly,-21645
394,nominal,-18944
395,nominal,-15054
396,nominal,-14751
397,nominal,-18994
398,nominal,-18003
399,nominal,-17942
400,nominal,-15199
401,nominal,-21136
402,nominal,-16383
403,nominal,-15578
404,anomaly,-20327
405,nominal,-19427
406,nominal,-19927
407,nominal,-18339
408,nominal,-18163
409,nominal,-18691
410,nominal,-17621
411,nominal,-17470
412,nominal,-14370
413,anomaly,-21770
414,nominal,-25528
415,nominal,-15036
416,nominal,-19826
417,nominal,-16124
418,nominal,-16922
419,nominal,-21416
420,nominal,-19006
421,nominal,-17336
422,nominal,-17728
423,nominal,-12913
424,nominal,-14069
425,nominal,-20563
426,anomaly,-23613
427,nominal,-13885
428,nominal,-17127
429,nominal,-21537
430,nominal,-16703
431,nominal,-16365
432,nominal,-17063
433,nominal,-15918
434,nominal,-21362
435,nominal,-17230
436,nominal,-17551
437,nominal,-16232
438,nominal,-17463
439,nominal,-13748
440,anomaly,-22304
441,nominal,-15170
442,nominal,-16273
443,nominal,-16203
444,nominal,-18410
445,nominal,-18861
446,nominal,-19131
447,nominal,-17362
448,nominal,-21425
449,nominal,-13934
450,nominal,-17873
451,nominal,-19020
452,nominal,-17109
453,nominal,-16126
454,nominal,-13688
455,nominal,-18447
456,nominal,-18090
457,nominal,-13226
458,nominal,-15609
459,nominal,-14795
460,nominal,-19612
461,nominal,-20879
462,nominal,-15586
463,nominal,-19645
464,nominal,-17942
465,nominal,-20314
466,nominal,-18188
467,nominal,-16116
468,nominal,-17639
469,nominal,-18354
470,nominal,-16831
471,nominal,-16552
472,nominal,-15245
473,nominal,-16611
474,nominal,-19663
475,nominal,-17930
476,nominal,-19500
477,anomaly,-19997
478,nominal,-17811
479,nominal,-20923
480,nominal,-17696
481,nominal,-19167
482,nominal,-20848
483,nominal,-16155
484,nominal,-19046
485,nominal,-15770
486,nominal,-14513
487,anomaly,-22546
488,nominal,-18898
489,nominal,-20712
490,nominal,-16810
491,anomaly,-21638
492,nominal,-21481
493,nominal,-16971
494,nominal,-16324
495,nominal,-16470
496,nominal,-20658
497,nominal,-16523
498,nominal,-18003
499,anomaly,-22068
500,nominal,-14971
501,nominal,-15007
502,nominal,-16098
503,nominal,-18123
504,nominal,-17535
505,nominal,-17261
506,anomaly,-18370
507,nominal,-18421
