index,label,score
0,nominal,-7150
1,nominal,-7319
2,nominal,-7499
3,nominal,-7220
4,nominal,-5877
5,nominal,-6047
6,nominal,-7514
7,nominal,-6124
8,nominal,-6566
9,nominal,-6513
10,nominal,-6735
11,nominal,-5418
12,nominal,-6085
13,nominal,-5286
14,nominal,-5179
15,nominal,-6024
16,nominal,-5993
17,nominal,-7969
18,nominal,-5876
19,nominal,-5901
20,nominal,-6265
21,nominal,-4958
22,nominal,-7671
23,nominal,-6032
24,nominal,-4844
25,nominal,-6614
26,nominal,-7062
27,nominal,-6746
28,nominal,-6125
29,nominal,-6900
30,nominal,-7279
31,nominal,-5383
32,nominal,-6026
33,nominal,-6333
34,nominal,-6682
35,nominal,-7327
36,nominal,-7067
37,nominal,-7121
38,nominal,-6857
39,nominal,-6313
40,nominal,-6083
41,nominal,-6090
42,nominal,-6398
43,nominal,-6118
44,nominal,-5801
45,nominal,-7694
46,nominal,-6282
47,nominal,-6358
48,nominal,-5477
49,nominal,-6163
50,nominal,-6746
51,nominal,-8422
52,nominal,-6864
53,nominal,-5952
54,nominal,-6089
55,nominal,-7890
56,nominal,-6098
57,nominal,-6853
58,nominal,-5400
59,nominal,-6122
60,nominal,-5519
61,nominal,-7170
62,nominal,-6231
63,nominal,-5362
64,nominal,-5044
65,nominal,-5703
66,nominal,-5695
67,nominal,-6006
68,nominal,-6011
69,nominal,-5709
70,nominal,-7104
71,nominal,-7600
72,nominal,-7118
73,nominal,-5619
74,nominal,-5763
75,nominal,-6382
76,nominal,-6372
77,nominal,-8227
78,nominal,-4712
79,nominal,-7379
80,nominal,-5229
81,nominal,-6981
82,nominal,-6181
83,nominal,-6999
84,nominal,-5796
85,nominal,-7267
86,nominal,-4430
87,nominal,-4955
88,nominal,-6310
89,nominal,-6208
90,nominal,-6836
91,nominal,-5926
92,nominal,-7394
93,nominal,-6916
94,nominal,-6763
95,nominal,-6983
96,nominal,-5416
97,nominal,-6625
98,nominal,-6879
99,nominal,-8211
100,nominal,-5984
101,nominal,-6558
102,nominal,-6432
103,nominal,-5960
104,nominal,-5663
105,nominal,-7280
106,nominal,-7397
107,nominal,-5967
108,nominal,-6921
109,nominal,-6565
110,nominal,-6976
111,nominal,-6729
112,nominal,-6054
113,nominal,-6388
114,nominal,-6252
115,nominal,-6405
116,nominal,-7440
117,nominal,-5532
118,nominal,-5906
119,nominal,-6763
120,nominal,-6845
121,nominal,-5180
122,nominal,-8242
123,nominal,-6130
124,nominal,-6535
125,nominal,-7495
126,nominal,-5933
127,nominal,-5852
128,nominal,-5192
129,nominal,-6072
130,nominal,-6629
131,nominal,-5724
132,nominal,-5351
133,nominal,-4956
134,nominal,-6677
135,nominal,-6603
136,nominal,-6973
137,nominal,-6285
138,nominal,-6008
139,nominal,-6740
140,nominal,-5841
141,nominal,-6378
142,nominal,-6456
143,nominal,-7627
144,nominal,-6925
145,nominal,-7785
146,nominal,-6105
