index,label,score
0,nominal,-12105
1,nominal,-13902
2,nominal,-4277
3,nominal,-9826
4,nominal,-10614
5,nominal,-8803
6,nominal,-13311
7,nominal,-11598
8,anomaly,-22244
9,nominal,-9703
10,nominal,-10916
11,nominal,-9300
12,nominal,-12748
13,nominal,-12307
14,nominal,-11113
15,nominal,-10838
16,nominal,-10469
17,nominal,-10693
18,anomaly,-17178
19,nominal,-10114
20,nominal,-11029
21,nominal,-11720
22,nominal,-11263
23,nominal,-14020
24,nominal,-10757
25,nominal,-11882
26,nominal,-13624
27,anomaly,-20146
28,nominal,-11823
29,nominal,-10730
30,anomaly,-20643
31,nominal,-11896
32,nominal,-10827
33,nominal,-13877
34,nominal,-9710
35,nominal,-9103
36,nominal,-11605
37,nominal,-11514
38,nominal,-13585
39,anomaly,-25011
40,nominal,-11563
41,nominal,-11525
42,nominal,-9518
43,nominal,-9540
44,nominal,-9932
45,anomaly,-17358
46,nominal,-10855
47,nominal,-12744
48,nominal,-10485
49,nominal,-10966
50,nominal,-7681
51,nominal,-9674
52,nominal,-9736
53,nominal,-13159
54,nominal,-13024
55,nominal,-12503
56,nominal,-9446
57,nominal,-8245
58,nominal,-12458
59,nominal,-13057
60,nominal,-14197
61,nominal,-11783
62,nominal,-10875
63,nominal,-11934
64,anomaly,-18466
65,anomaly,-17797
66,nominal,-10239
67,nominal,-9886
68,nominal,-12279
69,nominal,-13844
70,nominal,-10216
71,nominal,-12778
72,anomaly,-19733
73,nominal,-11161
74,nominal,-15194
75,nominal,-8499
76,nominal,-10209
77,nominal,-12483
78,nominal,-18422
79,nominal,-10577
80,anomaly,-20775
81,anomaly,-13440
82,nominal,-13458
83,nominal,-12196
84,nominal,-9639
85,nominal,-11164
86,nominal,-9488
87,nominal,-9183
88,nominal,-10436
89,anomaly,-14124
90,anomaly,-22183
91,nominal,-9548
92,nominal,-11682
93,nominal,-10459
94,nominal,-9809
95,nominal,-9080
96,anomaly,-22810
97,nominal,-14943
98,nominal,-9772
99,nominal,-10785
100,nominal,-9631
101,nominal,-9920
102,nominal,-11099
103,nominal,-12711
104,anomaly,-16286
105,nominal,-12784
106,nominal,-17213
107,nominal,-10826
108,nominal,-11562
109,nominal,-10424
110,nominal,-12467
111,anomaly,-22244
112,nominal,-10511
113,nominal,-13438
114,nominal,-10195
115,nominal,-14085
116,nominal,-11341
117,nominal,-13646
118,nominal,-12779
119,nominal,-11026
120,nominal,-11889
121,nominal,-9741
122,nominal,-12915
123,nominal,-9966
124,anomaly,-15292
125,nominal,-9460
126,nominal,-13914
127,anomaly,-22220
128,anomaly,-20404
129,nominal,-9571
130,nominal,-10452
131,anomaly,-21051
132,nominal,-10301
133,nominal,-12910
134,nominal,-7969
