index,label,score
0,nominal,-19767
1,nominal,-19146
2,nominal,-16705
3,nominal,-17816
4,nominal,-18080
5,nominal,-19455
6,nominal,-17710
7,nominal,-19165
8,nominal,-19464
9,nominal,-19811
10,nominal,-21791
11,nominal,-16279
12,nominal,-19200
13,nominal,-18834
14,nominal,-16596
15,nominal,-17944
16,nominal,-18160
17,nominal,-20078
18,nominal,-19184
19,nominal,-16136
20,nominal,-16288
21,nominal,-19045
22,nominal,-17899
23,nominal,-20553
24,nominal,-18421
25,nominal,-18645
26,nominal,-19593
27,nominal,-20232
28,nominal,-21703
29,nominal,-14922
30,nominal,-21431
31,nominal,-22206
32,nominal,-22198
33,nominal,-20114
34,nominal,-18430
35,nominal,-17734
36,nominal,-18266
37,nominal,-18035
38,nominal,-20154
39,nominal,-18773
40,nominal,-15386
41,nominal,-18736
42,nominal,-18485
43,nominal,-17068
44,nominal,-14681
45,nominal,-20050
46,nominal,-19375
47,nominal,-19859
48,nominal,-18129
49,nominal,-16308
50,nominal,-17525
51,nominal,-16489
52,nominal,-14627
53,nominal,-16031
54,anomaly,-19655
55,anomaly,-21915
56,nominal,-17459
57,nominal,-17088
58,anomaly,-19914
59,nominal,-17608
60,nominal,-19337
61,nominal,-20837
62,nominal,-17655
63,nominal,-21830
64,nominal,-16132
65,nominal,-18380
66,nominal,-17623
67,nominal,-18821
68,nominal,-20381
69,nominal,-17217
70,nominal,-18684
71,nominal,-19833
72,nominal,-21198
73,nominal,-17985
74,nominal,-18199
75,anomaly,-21162
76,nominal,-17642
77,nominal,-20048
78,nominal,-17651
79,nominal,-16247
80,nominal,-17553
81,nominal,-20101
82,nominal,-18439
83,nominal,-18071
84,nominal,-17014
85,nominal,-19387
86,nominal,-19601
87,nominal,-15155
88,nominal,-20877
89,nominal,-19607
90,nominal,-17979
91,nominal,-15354
92,nominal,-18882
93,nominal,-17862
94,nominal,-16466
95,nominal,-15691
96,nominal,-19328
97,nominal,-21376
98,nominal,-15960
99,nominal,-19994
100,nominal,-16678
101,anomaly,-24676
102,nominal,-18808
103,nominal,-16574
104,nominal,-20253
105,nominal,-22300
106,nominal,-16810
107,nominal,-18068
108,nominal,-18615
109,nominal,-17448
110,nominal,-19803
111,nominal,-18805
112,nominal,-17770
113,anomaly,-20831
114,anomaly,-22003
115,nominal,-15731
116,nominal,-18759
117,nominal,-18006
118,nominal,-17483
119,nominal,-19842
120,nominal,-20538
121,nominal,-16084
122,nominal,-20516
123,nominal,-17224
124,nominal,-19458
125,nominal,-18498
126,anomaly,-22661
127,nominal,-19061
128,nominal,-17845
129,nominal,-18802
130,nominal,-19365
131,nominal,-18715
132,nominal,-17436
133,nominal,-16947
134,nominal,-15909
135,nominal,-14701
136,nominal,-17764
137,nominal,-22453
138,nominal,-20433
139,nominal,-15601
140,nominal,-17306
141,nominal,-19710
142,nominal,-18066
143,nominal,-18011
144,nominal,-19427
145,nominal,-20111
146,nominal,-18544
147,anomaly,-21076
148,nominal,-21219
149,nominal,-17012
150,nominal,-22376
151,nominal,-20432
152,nominal,-17858
153,nominal,-21214
154,nominal,-20001
155,anomaly,-19908
156,nominal,-17287
157,nominal,-18174
158,nominal,-18956
159,nominal,-21113
160,nominal,-18297
161,nominal,-17569
