index,label,score
0,nominal,-3765
1,nominal,-7682
2,nominal,-2005
3,nominal,-2541
4,nominal,-7182
5,nominal,-2584
6,anomaly,-10578
7,nominal,-5038
8,nominal,-3787
9,nominal,-3637
10,nominal,-2997
11,nominal,-4251
12,nominal,-3954
13,anomaly,-10091
14,nominal,-5756
15,nominal,-5852
16,nominal,-4556
17,nominal,-4803
18,nominal,-3934
19,nominal,-2182
20,nominal,-4341
21,nominal,-4573
22,nominal,-5182
23,nominal,-4436
24,nominal,-8025
25,nominal,-8427
26,nominal,-5557
27,nominal,-4863
28,nominal,-5144
29,nominal,-3322
30,nominal,-3700
31,nominal,-4356
32,nominal,-6931
33,nominal,-6110
34,nominal,-2486
35,nominal,-2801
36,anomaly,-6293
37,nominal,-5620
38,anomaly,-8932
39,nominal,-3015
40,nominal,-5704
41,nominal,-2996
42,anomaly,-9989
43,nominal,-3849
44,nominal,-3465
45,nominal,-5103
46,nominal,-3272
47,nominal,-5067
48,nominal,-4732
49,nominal,-2856
50,nominal,-2851
51,nominal,-5584
52,anomaly,-11466
53,nominal,-4091
54,nominal,-6025
55,nominal,-5214
56,nominal,-3117
57,nominal,-3640
58,nominal,-3944
59,nominal,-4826
60,nominal,-6309
61,nominal,-4060
62,nominal,-4910
63,nominal,-3937
64,nominal,-5434
65,nominal,-5639
66,nominal,-2406
67,nominal,-2348
68,nominal,-4354
69,anomaly,-8320
70,nominal,-4123
71,nominal,-4173
72,nominal,-5017
73,nominal,-4925
74,nominal,-4973
75,nominal,-3824
76,nominal,-3595
77,anomaly,-10787
78,anomaly,-7786
79,nominal,-2088
80,nominal,-4211
81,nominal,-5867
82,nominal,-4997
83,anomaly,-7300
84,nominal,-4159
85,nominal,-3395
86,nominal,-3971
87,anomaly,-10166
88,nominal,-5405
89,nominal,-4182
90,nominal,-4362
91,nominal,-3549
92,nominal,-5691
93,nominal,-3010
94,nominal,-4303
95,nominal,-3461
96,nominal,-3700
97,nominal,-8374
98,nominal,-4156
99,nominal,-2360
100,nominal,-2527
101,nominal,-3580
102,nominal,-3701
103,anomaly,-5600
104,nominal,-5235
105,nominal,-7760
106,anomaly,-7255
107,nominal,-5462
108,nominal,-4787
109,nominal,-2556
110,nominal,-4317
111,nominal,-3752
112,nominal,-4012
113,nominal,-6947
114,nominal,-3054
115,anomaly,-6255
116,nominal,-4280
117,nominal,-7092
118,nominal,-5142
119,nominal,-4910
120,nominal,-5395
121,nominal,-3240
122,nominal,-8021
123,nominal,-3526
124,nominal,-4577
125,nominal,-3948
126,nominal,-4207
127,nominal,-5222
128,nominal,-5436
129,nominal,-3093
130,nominal,-4489
131,nominal,-4600
132,nominal,-4872
133,nominal,-4934
134,nominal,-4074
135,anomaly,-9906
136,nominal,-5765
137,nominal,-5905
138,nominal,-2765
139,nominal,-1672
140,nominal,-6095
141,anomaly,-5469
142,nominal,-4053
143,nominal,-3006
144,nominal,-7096
145,nominal,-4518
146,nominal,-3363
147,nominal,-5784
148,nominal,-3929
149,nominal,-4651
150,nominal,-5895
151,nominal,-3375
152,nominal,-2626
153,nominal,-3126
154,nominal,-3989
155,nominal,-5855
156,nominal,-3427
157,nominal,-8026
158,nominal,-8826
159,nominal,-3266
160,nominal,-4388
161,anomaly,-9780
162,nominal,-4224
163,nominal,-6044
164,nominal,-2227
165,nominal,-4615
166,anomaly,-9428
167,nominal,-3965
168,nominal,-4931
169,nominal,-3405
170,nominal,-4020
171,nominal,-9915
172,nominal,-3272
173,nominal,-3232
174,nominal,-4027
175,anomaly,-8410
176,nominal,-4181
177,nominal,-6240
178,nominal,-4213
179,nominal,-3150
180,nominal,-4856
181,nominal,-3777
182,nominal,-3005
183,nominal,-4773
184,nominal,-2201
185,nominal,-5636
186,nominal,-3500
187,nominal,-6229
