index,label,score
0,anomaly,-10628
1,anomaly,-9936
2,anomaly,-7996
3,anomaly,-9630
4,anomaly,-8821
5,anomaly,-8502
6,anomaly,-10172
7,anomaly,-10389
8,anomaly,-10440
9,anomaly,-10411
10,anomaly,-9518
11,anomaly,-10037
12,anomaly,-9566
13,anomaly,-9733
14,anomaly,-10077
15,anomaly,-9259
16,anomaly,-14360
17,anomaly,-8753
18,anomaly,-12359
19,anomaly,-8155
20,anomaly,-11050
21,anomaly,-8526
22,anomaly,-9759
23,anomaly,-8726
24,anomaly,-9371
25,anomaly,-8847
26,anomaly,-10964
27,anomaly,-8863
28,anomaly,-10141
29,anomaly,-9593
30,anomaly,-14595
31,anomaly,-9049
32,anomaly,-7639
33,anomaly,-8894
34,anomaly,-7178
35,anomaly,-9094
36,anomaly,-13338
37,anomaly,-9014
38,anomaly,-8553
39,anomaly,-9404
40,anomaly,-9810
41,anomaly,-10222
42,anomaly,-10513
43,anomaly,-10512
44,anomaly,-8642
45,anomaly,-8992
46,anomaly,-10359
47,anomaly,-9259
48,anomaly,-9705
49,anomaly,-9407
50,anomaly,-10155
51,anomaly,-9049
52,anomaly,-8852
53,anomaly,-10226
54,anomaly,-9011
55,anomaly,-9459
56,anomaly,-10893
57,anomaly,-9766
58,anomaly,-10589
59,anomaly,-10304
60,anomaly,-10341
61,anomaly,-9640
62,anomaly,-10415
63,anomaly,-8661
64,anomaly,-9356
65,anomaly,-10547
66,anomaly,-8926
67,anomaly,-9142
68,anomaly,-9620
69,anomaly,-12287
70,anomaly,-9703
71,anomaly,-8671
72,anomaly,-7166
73,anomaly,-13800
74,anomaly,-9069
75,anomaly,-9689
76,anomaly,-7778
77,anomaly,-10458
78,anomaly,-10338
79,anomaly,-9783
80,anomaly,-10752
81,anomaly,-9527
82,anomaly,-10747
83,anomaly,-10217
84,anomaly,-7150
85,anomaly,-8230
86,anomaly,-10712
87,anomaly,-8832
88,anomaly,-11403
89,anomaly,-9092
90,anomaly,-10707
91,anomaly,-10406
92,anomaly,-8645
93,anomaly,-12504
94,anomaly,-8972
95,anomaly,-10287
96,anomaly,-10036
97,anomaly,-9847
98,anomaly,-10767
99,anomaly,-10142
100,anomaly,-9735
101,anomaly,-10068
102,anomaly,-8703
103,anomaly,-9842
104,anomaly,-8798
105,anomaly,-9231
106,anomaly,-10240
107,anomaly,-10331
108,anomaly,-10489
109,anomaly,-11121
110,anomaly,-10013
111,anomaly,-10274
112,anomaly,-9267
113,anomaly,-9320
114,anomaly,-10974
115,anomaly,-8669
116,anomaly,-11777
117,anomaly,-14338
118,anomaly,-10701
119,anomaly,-7917
120,anomaly,-9598
