index,label,score
0,nominal,-8788
1,nominal,-11651
2,nominal,-9045
3,nominal,-17063
4,nominal,-13035
5,nominal,-11100
6,nominal,-16292
7,nominal,-9747
8,nominal,-7519
9,nominal,-17704
10,nominal,-6826
11,nominal,-11331
12,nominal,-11787
13,nominal,-11210
14,nominal,-9265
15,nominal,-12010
16,nominal,-7237
17,nominal,-8835
18,nominal,-8214
19,nominal,-9637
20,nominal,-15922
21,nominal,-11947
22,nominal,-8214
23,nominal,-8934
24,nominal,-9320
25,nominal,-10999
26,nominal,-7540
27,nominal,-13889
28,nominal,-12185
29,nominal,-8401
30,nominal,-9586
31,nominal,-6636
32,nominal,-7020
33,nominal,-11689
34,nominal,-9549
35,nominal,-8906
36,nominal,-11563
37,nominal,-7091
38,nominal,-13146
39,nominal,-6625
40,nominal,-11512
41,nominal,-8131
42,nominal,-12328
43,nominal,-16251
44,nominal,-11048
45,nominal,-6838
46,nominal,-16561
47,nominal,-7335
48,nominal,-12621
49,nominal,-12714
50,nominal,-6547
51,nominal,-11400
52,nominal,-11916
53,nominal,-7928
54,nominal,-8011
55,nominal,-9640
56,nominal,-7933
57,nominal,-6868
58,nominal,-9675
59,nominal,-7205
60,nominal,-8724
61,nominal,-6227
62,nominal,-10060
63,nominal,-14567
64,nominal,-8424
65,nominal,-8243
66,nominal,-8385
67,nominal,-12071
68,nominal,-14138
69,nominal,-8098
70,nominal,-12823
71,nominal,-10263
72,nominal,-8591
73,nominal,-11120
74,nominal,-10012
75,nominal,-15902
76,nominal,-11695
77,nominal,-16376
78,nominal,-12851
79,nominal,-8639
80,nominal,-8441
81,nominal,-10001
82,nominal,-9090
83,nominal,-8672
84,nominal,-7269
85,nominal,-15711
86,nominal,-10371
87,nominal,-10644
88,nominal,-7318
89,nominal,-8454
90,nominal,-9599
91,nominal,-12442
92,nominal,-9987
93,nominal,-9301
94,nominal,-11592
95,nominal,-16131
96,nominal,-11708
97,nominal,-6783
98,nominal,-8725
99,nominal,-16387
100,nominal,-10024
101,nominal,-13676
102,nominal,-14112
103,nominal,-12733
104,nominal,-6927
105,nominal,-6401
106,nominal,-8358
107,nominal,-10045
108,nominal,-7578
109,nominal,-11269
110,nominal,-13370
111,nominal,-8748
112,nominal,-10148
113,nominal,-8418
114,nominal,-11714
115,nominal,-10267
116,nominal,-12616
117,nominal,-10062
118,nominal,-12913
119,nominal,-10650
120,nominal,-8909
121,nominal,-9172
122,nominal,-14221
123,nominal,-7241
124,nominal,-7131
125,nominal,-6909
126,nominal,-11582
127,nominal,-6819
128,nominal,-12230
129,nominal,-9873
130,nominal,-9843
131,nominal,-12079
132,nominal,-14935
133,nominal,-5261
134,nominal,-13138
135,nominal,-12067
136,nominal,-14940
137,nominal,-15151
138,nominal,-13356
139,nominal,-11756
140,nominal,-9113
141,nominal,-7682
142,nominal,-5051
143,nominal,-5793
144,nominal,-6276
145,nominal,-5833
146,nominal,-12501
147,nominal,-9104
148,nominal,-10756
149,nominal,-9331
150,nominal,-16612
151,nominal,-9517
152,nominal,-6728
153,nominal,-7806
154,nominal,-9822
155,nominal,-12306
156,nominal,-9262
157,nominal,-16140
158,nominal,-14303
159,nominal,-9113
160,nominal,-12932
161,nominal,-9262
162,nominal,-17428
163,nominal,-14138
164,nominal,-10129
165,nominal,-12822
166,nominal,-7594
167,nominal,-9724
168,nominal,-8746
169,nominal,-7391
170,nominal,-10231
171,nominal,-11642
172,nominal,-13674
173,nominal,-9127
174,nominal,-7239
175,nominal,-7231
176,nominal,-12045
177,nominal,-8739
178,nominal,-12533
179,nominal,-11157
180,nominal,-8735
181,nominal,-13926
182,nominal,-8294
183,nominal,-11925
184,nominal,-12846
185,nominal,-11739
186,nominal,-12181
187,nominal,-12626
188,nominal,-9051
189,nominal,-16210
190,nominal,-7485
191,nominal,-7571
192,nominal,-11964
193,nominal,-12147
194,nominal,-12513
195,nominal,-18474
196,nominal,-13119
197,nominal,-12115
198,nominal,-9220
199,nominal,-11828
200,nominal,-10747
201,nominal,-17037
202,nominal,-11641
203,nominal,-10238
204,nominal,-11054
205,nominal,-16036
206,nominal,-11464
207,nominal,-11308
208,nominal,-12113
209,nominal,-7867
210,nominal,-16122
211,nominal,-11001
212,nominal,-9609
213,nominal,-9291
214,nominal,-9703
215,nominal,-10035
216,nominal,-13252
217,nominal,-18072
218,nominal,-12466
219,nominal,-8909
220,nominal,-8858
221,nominal,-6792
222,nominal,-14981
223,nominal,-8187
224,nominal,-8438
225,nominal,-6853
226,nominal,-7185
227,nominal,-10120
228,nominal,-12361
229,nominal,-11885
230,nominal,-9579
231,nominal,-14934
232,nominal,-11532
233,nominal,-9645
234,nominal,-16609
235,nominal,-11463
236,nominal,-10954
237,nominal,-12487
238,nominal,-7347
239,nominal,-8936
240,nominal,-7896
241,nominal,-6356
242,nominal,-8565
243,nominal,-7276
244,nominal,-9119
245,nominal,-7419
246,nominal,-8080
247,nominal,-11146
248,nominal,-10659
249,nominal,-8755
250,nominal,-10096
251,nominal,-12088
252,nominal,-8528
253,nominal,-9562
254,nominal,-13302
255,nominal,-9688
256,nominal,-8365
257,nominal,-15286
258,nominal,-6841
259,nominal,-11112
260,nominal,-8998
261,nominal,-4934
262,nominal,-14109
263,nominal,-9510
264,nominal,-11905
265,nominal,-13559
266,nominal,-8850
267,nominal,-11218
268,nominal,-10243
269,nominal,-7545
270,nominal,-7618
271,nominal,-11204
272,nominal,-12530
273,nominal,-10170
274,nominal,-5100
275,nominal,-9967
276,nominal,-15971
277,nominal,-15664
278,nominal,-6583
279,nominal,-9632
280,nominal,-8932
281,nominal,-10650
282,nominal,-8289
283,nominal,-11294
284,nominal,-13425
285,nominal,-11076
286,nominal,-8842
287,nominal,-9957
288,nominal,-13073
289,nominal,-10212
290,nominal,-8717
291,nominal,-7096
292,nominal,-9722
293,nominal,-5106
294,nominal,-13113
295,nominal,-6124
296,nominal,-11961
297,nominal,-5363
298,nominal,-15847
299,nominal,-10881
300,nominal,-5686
301,nominal,-8253
302,nominal,-14337
303,nominal,-8019
304,nominal,-14759
305,nominal,-13075
306,nominal,-12287
307,nominal,-8682
308,nominal,-13366
309,nominal,-14992
310,nominal,-16465
311,nominal,-7945
312,nominal,-13243
313,nominal,-15070
314,nominal,-11443
315,nominal,-14725
316,nominal,-10883
317,nominal,-11418
318,nominal,-12852
319,nominal,-7847
320,nominal,-9114
321,nominal,-12495
322,nominal,-12296
323,nominal,-15678
324,nominal,-6868
325,nominal,-15157
326,nominal,-11649
327,nominal,-9360
328,nominal,-12438
329,nominal,-14735
330,nominal,-14461
331,nominal,-10422
332,nominal,-12574
333,nominal,-12625
334,nominal,-9032
335,nominal,-7679
336,nominal,-12632
337,nominal,-20021
338,nominal,-12136
339,nominal,-10824
340,nominal,-13485
341,nominal,-14617
342,nominal,-11564
343,nominal,-9983
344,nominal,-14463
345,nominal,-14190
