index,label,score
0,nominal,16496
1,nominal,13712
2,nominal,15494
3,nominal,13990
4,nominal,16765
5,nominal,14323
6,nominal,14202
7,nominal,14021
8,nominal,16263
9,nominal,14135
10,nominal,15711
11,nominal,14930
12,nominal,13894
13,nominal,14147
14,nominal,14213
15,nominal,13967
16,nominal,14723
17,nominal,13384
18,nominal,13219
19,nominal,15008
20,nominal,15638
21,nominal,13812
22,nominal,13865
23,nominal,15761
24,nominal,15444
25,nominal,14342
26,nominal,15958
27,nominal,14969
28,nominal,14063
29,anomaly,14991
30,nominal,15719
31,nominal,15542
32,nominal,14753
33,nominal,13840
34,nominal,15760
35,nominal,14174
36,nominal,15414
37,nominal,13426
38,nominal,14415
39,anomaly,15154
40,nominal,14672
41,nominal,13513
42,nominal,13678
43,nominal,13581
44,nominal,15499
45,nominal,13045
46,nominal,15973
47,nominal,14632
48,nominal,14029
49,nominal,14072
50,nominal,14440
51,nominal,14256
52,nominal,14155
53,nominal,16674
54,nominal,13928
55,nominal,14888
56,nominal,14348
57,nominal,16117
58,nominal,14396
59,anomaly,14360
60,nominal,14601
61,nominal,13994
62,nominal,15893
63,nominal,14261
64,nominal,13653
65,nominal,13692
66,nominal,13821
67,nominal,13993
68,anomaly,14975
69,nominal,14707
70,nominal,14973
71,nominal,13967
72,nominal,14311
73,nominal,15703
74,nominal,13811
75,nominal,15421
76,nominal,15644
77,nominal,12565
78,nominal,13332
79,nominal,14340
80,nominal,13007
81,nominal,15268
82,nominal,14736
83,nominal,14196
84,nominal,14628
85,nominal,14364
86,nominal,13902
87,nominal,14664
88,nominal,14936
89,nominal,15074
90,nominal,14814
91,nominal,14016
92,nominal,14338
93,nominal,14766
94,anomaly,13968
95,nominal,15388
96,nominal,13720
97,nominal,14383
98,nominal,14317
99,nominal,13440
100,nominal,14832
101,nominal,13563
102,nominal,15118
103,nominal,13332
104,nominal,13232
105,nominal,14401
106,nominal,14190
107,nominal,14837
108,nominal,14413
109,nominal,12343
110,nominal,14145
111,nominal,15537
112,nominal,15063
113,anomaly,15630
114,nominal,13526
115,nominal,14575
116,nominal,13609
117,nominal,15143
118,nominal,13296
119,nominal,15466
120,nominal,14790
121,nominal,15441
122,nominal,14016
123,nominal,14906
124,nominal,13989
125,nominal,14412
126,nominal,16401
127,nominal,14353
128,nominal,14922
129,nominal,14283
130,nominal,13071
131,nominal,16590
132,nominal,14872
133,nominal,16448
134,nominal,14345
135,nominal,13301
136,anomaly,13960
137,nominal,16209
138,nominal,13418
139,nominal,13303
140,nominal,15398
141,nominal,15218
142,nominal,14074
143,nominal,14805
144,nominal,13504
145,nominal,14677
146,nominal,14292
147,nominal,13688
148,nominal,15866
149,nominal,15680
150,nominal,14376
151,nominal,14954
152,nominal,16267
153,nominal,14935
154,anomaly,14122
155,nominal,15350
156,nominal,14473
157,anomaly,13596
158,nominal,16707
159,nominal,14247
160,nominal,14479
161,nominal,14928
162,nominal,14430
163,nominal,13431
164,nominal,13679
165,nominal,13935
166,nominal,15659
167,nominal,14398
168,nominal,14094
169,nominal,15437
170,nominal,16059
171,anomaly,15515
172,nominal,14842
173,nominal,12633
174,nominal,13710
175,nominal,15617
176,nominal,14827
177,nominal,16410
178,nominal,13494
179,nominal,16069
180,nominal,15493
181,nominal,13467
182,nominal,14616
183,nominal,14602
184,nominal,15926
185,nominal,15143
186,nominal,13119
187,nominal,13687
188,nominal,14680
189,nominal,16101
190,nominal,16084
191,nominal,13622
192,nominal,14708
193,nominal,14499
194,anomaly,15230
195,nominal,14032
196,nominal,13864
197,nominal,15383
198,nominal,16426
199,nominal,14895
200,nominal,14918
201,nominal,14974
202,nominal,14969
203,nominal,15360
204,nominal,14718
205,nominal,14615
206,nominal,14973
207,nominal,14036
208,nominal,15224
209,nominal,14596
210,nominal,13514
211,nominal,14472
212,nominal,15573
213,nominal,15615
214,nominal,15862
215,nominal,15732
216,nominal,15439
217,nominal,14692
218,nominal,15379
219,nominal,13558
220,nominal,14725
221,nominal,15062
222,anomaly,14521
223,nominal,12789
224,nominal,15464
225,nominal,15712
226,anomaly,15042
227,nominal,14059
228,nominal,15429
229,nominal,14497
230,nominal,14731
231,nominal,14551
232,nominal,15615
233,nominal,14366
234,nominal,15166
235,nominal,14750
236,nominal,13786
237,nominal,15021
238,nominal,14290
239,nominal,14215
240,nominal,16392
241,nominal,13097
242,nominal,14648
243,nominal,15592
244,nominal,14202
245,nominal,14648
246,nominal,15773
247,nominal,13447
248,nominal,14623
249,nominal,14398
250,nominal,13540
