index,label,score
0,nominal,-14182
1,nominal,-15772
2,nominal,-16328
3,nominal,-16906
4,nominal,-15871
5,nominal,-20176
6,nominal,-16936
7,nominal,-14265
8,nominal,-15218
9,nominal,-17481
10,nominal,-16527
11,anomaly,-20116
12,nominal,-16089
13,nominal,-13724
14,nominal,-16777
15,nominal,-16521
16,nominal,-17666
17,nominal,-16698
18,nominal,-14433
19,nominal,-29879
20,nominal,-15180
21,nominal,-16947
22,nominal,-15149
23,nominal,-16117
24,nominal,-14097
25,nominal,-17481
26,nominal,-16300
27,nominal,-20474
28,nominal,-15384
29,nominal,-16025
30,nominal,-15301
31,nominal,-15284
32,nominal,-16322
33,anomaly,-18570
34,nominal,-15349
35,nominal,-14506
36,nominal,-15874
37,nominal,-14597
38,nominal,-16574
39,nominal,-16571
40,nominal,-15160
41,nominal,-16411
42,nominal,-15342
43,nominal,-15258
44,nominal,-19728
45,nominal,-23943
46,nominal,-16608
47,nominal,-18903
48,nominal,-16440
49,anomaly,-18406
50,nominal,-21075
51,nominal,-15125
52,nominal,-16911
53,nominal,-16832
54,nominal,-24792
55,nominal,-22228
56,nominal,-16662
57,nominal,-16544
58,nominal,-16268
59,nominal,-16707
60,nominal,-15926
61,nominal,-16332
62,nominal,-21410
63,nominal,-16552
64,nominal,-16300
65,nominal,-13395
66,nominal,-21831
67,anomaly,-17921
68,nominal,-15810
69,nominal,-14945
70,nominal,-14155
71,nominal,-21525
72,nominal,-16728
73,nominal,-15633
74,nominal,-15080
75,nominal,-15052
76,nominal,-16285
77,anomaly,-20123
78,nominal,-15516
79,nominal,-16955
80,nominal,-14814
81,nominal,-15249
82,nominal,-19450
83,nominal,-14360
84,nominal,-16637
85,nominal,-24484
86,nominal,-19110
87,nominal,-29433
88,nominal,-15977
89,nominal,-16030
90,nominal,-16004
91,nominal,-27318
92,nominal,-14622
93,nominal,-14663
94,nominal,-15787
95,nominal,-16004
96,nominal,-14117
97,nominal,-15342
98,nominal,-16266
99,nominal,-19282
100,nominal,-15800
101,nominal,-19279
102,anomaly,-37173
103,nominal,-16469
104,nominal,-14920
105,nominal,-17117
106,nominal,-16915
107,nominal,-13478
108,nominal,-15490
109,nominal,-17547
110,nominal,-15904
111,nominal,-19721
112,nominal,-17280
113,nominal,-18011
114,nominal,-16998
115,anomaly,-17360
116,nominal,-13776
117,nominal,-15781
118,nominal,-19930
119,nominal,-14107
120,nominal,-16566
121,nominal,-14902
122,nominal,-21616
123,nominal,-16674
124,nominal,-20692
125,nominal,-16937
126,nominal,-16544
127,nominal,-15375
128,nominal,-16746
129,nominal,-27194
130,nominal,-16157
131,nominal,-16981
132,nominal,-15370
133,nominal,-19486
134,nominal,-16045
135,nominal,-16942
136,nominal,-16616
137,nominal,-20592
138,nominal,-16478
139,nominal,-22167
140,nominal,-14312
141,nominal,-15711
142,nominal,-15894
143,nominal,-15790
144,nominal,-16622
145,nominal,-15081
146,nominal,-16500
147,nominal,-14554
148,nominal,-15306
149,nominal,-16259
150,nominal,-15992
151,nominal,-16445
152,nominal,-23367
153,nominal,-18736
154,nominal,-16760
155,nominal,-20563
156,nominal,-25527
157,nominal,-23038
158,nominal,-16029
159,nominal,-26793
160,nominal,-16823
161,nominal,-16564
162,nominal,-15634
163,nominal,-17334
164,nominal,-19246
165,nominal,-16638
166,nominal,-26207
167,nominal,-15746
168,nominal,-16395
169,nominal,-24838
170,nominal,-30621
171,nominal,-14992
172,nominal,-13545
173,nominal,-18199
174,nominal,-20417
175,anomaly,-54998
176,nominal,-15846
177,nominal,-17005
178,nominal,-13898
179,nominal,-22796
180,nominal,-16665
181,nominal,-16265
182,nominal,-20266
183,nominal,-19949
184,nominal,-19008
185,nominal,-16768
186,nominal,-13939
187,anomaly,-20021
188,nominal,-20441
189,nominal,-15951
190,nominal,-16485
191,nominal,-15685
192,nominal,-15042
193,nominal,-16359
194,nominal,-14961
195,nominal,-14159
196,nominal,-15719
197,nominal,-16694
198,nominal,-30040
199,nominal,-16082
200,anomaly,-40374
201,nominal,-15014
202,nominal,-19478
203,nominal,-16991
204,nominal,-13691
205,nominal,-15800
206,nominal,-14926
207,nominal,-15949
208,nominal,-17050
209,nominal,-15676
210,anomaly,-58009
211,nominal,-16465
212,nominal,-16084
213,nominal,-15021
214,nominal,-16673
215,nominal,-16642
216,nominal,-14591
217,nominal,-15216
218,nominal,-14547
219,nominal,-19691
220,nominal,-20342
221,nominal,-16062
222,nominal,-20991
223,nominal,-15778
224,nominal,-15160
225,nominal,-19828
226,nominal,-19044
227,nominal,-14899
228,nominal,-16146
229,nominal,-22221
230,nominal,-16040
231,nominal,-20127
232,nominal,-16689
233,nominal,-15188
234,nominal,-14359
235,nominal,-14086
236,nominal,-14766
237,nominal,-16746
238,nominal,-18409
239,nominal,-16980
240,nominal,-15841
241,nominal,-15251
242,nominal,-19513
243,nominal,-28042
244,nominal,-14634
245,nominal,-16779
246,nominal,-16552
247,nominal,-16803
248,nominal,-14750
249,nominal,-28382
250,nominal,-15746
251,nominal,-16731
252,nominal,-14307
253,nominal,-14838
254,nominal,-18352
255,nominal,-14952
256,nominal,-21323
257,nominal,-17245
258,nominal,-20484
259,nominal,-19447
260,nominal,-16140
261,nominal,-17760
262,nominal,-16622
263,nominal,-14651
264,nominal,-16610
265,nominal,-14913
266,nominal,-16624
267,anomaly,-18871
268,nominal,-19736
269,nominal,-16620
270,anomaly,-19266
271,nominal,-16168
272,nominal,-16294
273,nominal,-15386
274,nominal,-20474
275,nominal,-14647
276,nominal,-15240
277,nominal,-15349
278,nominal,-14332
279,nominal,-19060
280,nominal,-20887
281,nominal,-15762
282,nominal,-15841
283,nominal,-16057
284,nominal,-18302
285,nominal,-20362
286,nominal,-15650
287,nominal,-14824
288,nominal,-14697
289,nominal,-14392
290,nominal,-19411
291,nominal,-17646
292,nominal,-15425
293,nominal,-16596
294,nominal,-19097
295,nominal,-16409
296,nominal,-15452
297,nominal,-14816
298,nominal,-16723
299,anomaly,-17053
300,nominal,-16817
301,nominal,-14747
302,nominal,-15304
303,nominal,-18756
304,nominal,-15644
305,nominal,-21741
306,nominal,-15375
307,nominal,-21892
308,nominal,-16235
309,nominal,-16450
310,nominal,-16714
311,nominal,-16230
312,nominal,-16319
313,nominal,-22811
314,nominal,-19029
315,nominal,-16689
316,nominal,-16123
317,nominal,-16088
318,nominal,-17711
319,nominal,-14640
320,nominal,-14652
321,nominal,-18410
322,nominal,-15300
323,nominal,-15294
324,nominal,-14035
325,nominal,-15784
326,nominal,-15300
327,nominal,-13426
328,nominal,-16562
329,nominal,-16485
330,anomaly,-19523
331,nominal,-16601
332,nominal,-18967
333,nominal,-27840
334,nominal,-16794
335,nominal,-16944
336,nominal,-17780
337,nominal,-17780
338,nominal,-15192
339,nominal,-22433
340,nominal,-15450
341,nominal,-18166
342,nominal,-14778
343,nominal,-28177
344,nominal,-20871
345,nominal,-14537
346,nominal,-19101
347,nominal,-14629
348,nominal,-16304
349,nominal,-15626
350,nominal,-15203
