index,label,score
0,nominal,-35561
1,nominal,-31866
2,nominal,-33556
3,nominal,-33775
4,nominal,-30114
5,nominal,-33571
6,nominal,-30336
7,nominal,-34978
8,nominal,-22860
9,nominal,-22860
10,nominal,-22860
11,nominal,-22860
12,nominal,-32202
13,nominal,-29574
14,nominal,-30874
15,nominal,-33242
16,nominal,-34638
17,nominal,-31745
18,nominal,-30042
19,nominal,-28759
20,nominal,-30069
21,nominal,-35771
22,nominal,-33617
23,nominal,-29029
24,nominal,-34452
25,nominal,-33351
26,nominal,-34153
27,nominal,-30059
28,nominal,-35620
29,nominal,-24350
30,nominal,-34302
31,nominal,-22612
32,nominal,-22631
33,nominal,-34401
34,nominal,-23815
35,nominal,-16794
36,nominal,-21886
37,nominal,-22420
38,nominal,-22377
39,nominal,-22420
40,nominal,-16958
41,nominal,-22377
42,nominal,-21951
43,nominal,-21082
44,nominal,-23515
45,nominal,-15666
46,nominal,-21957
47,nominal,-21813
48,nominal,-20181
49,nominal,-16563
50,nominal,-23539
51,nominal,-22645
52,nominal,-24194
53,nominal,-24194
54,nominal,-24194
55,nominal,-22242
56,nominal,-22122
57,nominal,-23941
58,nominal,-23941
59,nominal,-23941
60,nominal,-23950
61,nominal,-23950
62,nominal,-23950
63,nominal,-23950
64,nominal,-23950
65,nominal,-23950
66,nominal,-21643
67,nominal,-25573
68,nominal,-25571
69,nominal,-24645
70,nominal,-24642
71,nominal,-24645
72,nominal,-17407
73,nominal,-24642
74,nominal,-24701
75,nominal,-24701
76,nominal,-24701
77,nominal,-21998
78,nominal,-24078
79,nominal,-24078
80,nominal,-24078
81,nominal,-24066
82,nominal,-24078
83,nominal,-20603
84,nominal,-22490
85,nominal,-24078
86,nominal,-24078
87,nominal,-24066
88,nominal,-24066
89,nominal,-16211
90,nominal,-27535
91,nominal,-27092
92,nominal,-26024
93,nominal,-27092
94,nominal,-27092
95,nominal,-27535
96,nominal,-22616
97,nominal,-21254
98,nominal,-26581
99,nominal,-18463
100,nominal,-26581
101,nominal,-23476
102,nominal,-22242
103,nominal,-27597
104,nominal,-27597
105,nominal,-26581
106,nominal,-26581
107,nominal,-23135
108,nominal,-26586
109,nominal,-26586
110,nominal,-22297
111,nominal,-26280
112,nominal,-20639
113,nominal,-27695
114,nominal,-26280
115,nominal,-26892
116,nominal,-16353
117,nominal,-26276
118,nominal,-26276
119,nominal,-26335
120,nominal,-26335
121,nominal,-26335
122,nominal,-22371
123,nominal,-25498
124,nominal,-26335
125,nominal,-26334
126,nominal,-25498
127,nominal,-20183
128,nominal,-26334
129,nominal,-20491
130,nominal,-16561
131,nominal,-23421
132,nominal,-22090
133,nominal,-22410
134,nominal,-23504
135,nominal,-14969
136,nominal,-14866
137,nominal,-14866
138,nominal,-21663
139,nominal,-14866
140,nominal,-23894
141,nominal,-24071
142,nominal,-22895
143,nominal,-16014
144,nominal,-21205
145,nominal,-14911
146,nominal,-14911
147,nominal,-22759
148,nominal,-20432
149,nominal,-15571
150,nominal,-21867
151,nominal,-17262
152,nominal,-23117
153,nominal,-22766
154,nominal,-22401
155,nominal,-22961
156,nominal,-21996
157,nominal,-16628
158,nominal,-22570
159,nominal,-21257
160,nominal,-15453
161,nominal,-22589
162,nominal,-22587
163,nominal,-24417
164,nominal,-24610
165,nominal,-24889
166,nominal,-24610
167,nominal,-24890
168,nominal,-24609
169,nominal,-24890
170,nominal,-24609
171,nominal,-21986
172,nominal,-24417
173,nominal,-24889
174,nominal,-24379
175,nominal,-23303
176,nominal,-23055
177,nominal,-23015
178,nominal,-20558
179,nominal,-23324
180,nominal,-23320
181,nominal,-23521
182,nominal,-16213
183,nominal,-23320
184,nominal,-23032
185,nominal,-23668
186,nominal,-24453
187,nominal,-24452
188,nominal,-24453
189,nominal,-24452
190,nominal,-25007
191,nominal,-25046
192,nominal,-23324
193,nominal,-23521
194,nominal,-23055
195,nominal,-23053
196,nominal,-23055
197,nominal,-23015
198,nominal,-23630
199,nominal,-23055
200,nominal,-23053
201,nominal,-23032
202,nominal,-23303
203,nominal,-24452
204,nominal,-24452
205,nominal,-36171
206,nominal,-24427
207,nominal,-25029
208,nominal,-26182
209,nominal,-26159
210,nominal,-26182
211,nominal,-26159
212,nominal,-26794
213,nominal,-32592
214,nominal,-15870
215,nominal,-21408
216,nominal,-24427
217,nominal,-23945
218,nominal,-30751
219,nominal,-26196
220,nominal,-26196
221,nominal,-25466
222,nominal,-30751
223,nominal,-26196
224,nominal,-25466
225,nominal,-26196
226,nominal,-23157
227,nominal,-24804
228,nominal,-25035
229,nominal,-25049
230,nominal,-25049
231,nominal,-26814
232,nominal,-24804
233,nominal,-21364
234,nominal,-34646
235,nominal,-25035
236,nominal,-26707
237,nominal,-32642
238,nominal,-32642
239,nominal,-22185
240,nominal,-23213
241,nominal,-15940
242,nominal,-35072
243,anomaly,-37107
244,anomaly,-31306
245,anomaly,-37372
246,anomaly,-35380
247,anomaly,-22697
248,anomaly,-22039
249,anomaly,-33601
250,anomaly,-20491
251,anomaly,-36327
252,anomaly,-33797
253,anomaly,-35115
254,anomaly,-36587
255,anomaly,-57255
256,anomaly,-37256
257,anomaly,-31512
258,anomaly,-30563
259,anomaly,-33685
260,anomaly,-33624
261,anomaly,-35265
262,anomaly,-34034
263,anomaly,-20962
264,anomaly,-16133
265,anomaly,-33761
266,anomaly,-35320
267,anomaly,-38100
268,anomaly,-23936
269,anomaly,-35236
270,anomaly,-16233
271,anomaly,-24709
272,anomaly,-34469
273,anomaly,-41079
274,anomaly,-31265
275,anomaly,-31445
276,anomaly,-21763
277,anomaly,-36836
278,anomaly,-23401
279,anomaly,-30789
280,anomaly,-34225
281,anomaly,-31377
282,anomaly,-38861
283,anomaly,-31288
284,anomaly,-36304
285,anomaly,-30676
286,anomaly,-36423
287,anomaly,-33905
288,anomaly,-33229
289,anomaly,-33428
290,anomaly,-34705
291,anomaly,-32512
292,nominal,-22162
293,nominal,-20854
294,nominal,-23099
295,nominal,-20665
296,nominal,-43209
297,nominal,-44784
298,nominal,-18388
299,nominal,-43058
300,nominal,-24174
301,nominal,-20415
302,nominal,-19906
303,nominal,-19186
304,nominal,-24959
305,nominal,-44372
306,nominal,-23388
307,nominal,-21206
308,nominal,-20505
309,nominal,-20661
310,nominal,-33120
311,nominal,-22442
312,nominal,-20232
313,nominal,-43640
314,nominal,-21135
315,nominal,-19611
316,nominal,-24982
317,nominal,-18658
318,nominal,-40234
319,nominal,-19309
320,nominal,-19304
321,nominal,-18076
322,nominal,-20482
323,nominal,-24982
324,nominal,-21841
325,nominal,-44088
326,nominal,-20856
327,nominal,-19956
328,nominal,-18640
329,nominal,-19428
330,nominal,-24982
331,nominal,-44143
332,nominal,-22663
333,nominal,-19975
334,nominal,-21207
335,nominal,-19083
336,nominal,-20554
337,nominal,-45321
338,nominal,-20921
339,nominal,-20256
340,nominal,-44210
341,nominal,-43879
342,nominal,-20427
343,nominal,-22495
344,nominal,-32742
345,nominal,-19882
346,nominal,-21283
347,nominal,-19095
348,nominal,-42036
349,nominal,-22811
350,nominal,-22744
351,nominal,-18775
352,nominal,-43200
353,nominal,-20988
354,nominal,-45198
355,nominal,-42408
356,nominal,-44068
357,nominal,-43439
358,nominal,-43383
359,nominal,-18595
360,nominal,-45846
361,nominal,-23217
362,nominal,-18890
363,nominal,-19833
364,nominal,-21892
365,nominal,-21614
366,nominal,-19537
367,nominal,-43041
368,nominal,-43561
369,nominal,-43904
370,nominal,-19850
371,nominal,-43491
372,nominal,-44012
373,nominal,-22995
374,nominal,-20602
375,nominal,-24242
376,nominal,-33612
377,nominal,-18071
378,nominal,-21184
379,nominal,-19608
380,nominal,-42873
381,nominal,-43169
382,nominal,-19291
383,nominal,-20666
384,nominal,-23015
385,nominal,-21417
386,nominal,-21429
387,nominal,-22361
388,nominal,-23308
389,nominal,-28676
390,nominal,-43055
391,nominal,-41056
392,nominal,-20868
393,nominal,-43807
394,nominal,-20962
395,nominal,-43859
396,nominal,-23292
397,nominal,-20467
398,nominal,-18955
399,nominal,-22146
400,nominal,-20125
401,nominal,-22053
402,nominal,-24928
403,nominal,-20344
404,nominal,-31784
405,nominal,-22320
406,nominal,-44255
407,nominal,-21815
408,nominal,-22261
409,nominal,-44205
410,nominal,-18872
411,nominal,-22202
412,nominal,-20836
413,nominal,-19121
414,nominal,-23259
415,nominal,-23050
416,nominal,-20369
417,nominal,-43739
418,nominal,-22389
419,nominal,-19601
420,nominal,-20272
421,nominal,-16818
422,nominal,-42574
423,nominal,-43832
424,nominal,-43760
425,nominal,-24554
426,nominal,-43334
427,nominal,-21255
428,nominal,-21070
429,nominal,-42950
430,nominal,-18602
431,nominal,-43299
432,nominal,-24554
433,nominal,-19055
434,nominal,-22324
435,nominal,-19266
436,nominal,-21796
437,nominal,-44103
438,nominal,-18950
439,nominal,-24554
440,nominal,-22043
441,nominal,-18460
442,nominal,-19414
443,nominal,-18626
444,nominal,-20993
445,nominal,-33612
446,nominal,-24554
447,nominal,-43782
448,nominal,-19260
449,nominal,-19555
450,nominal,-19544
451,nominal,-20122
452,nominal,-21426
453,nominal,-44206
454,nominal,-43901
455,nominal,-21501
456,nominal,-22572
457,nominal,-18663
458,nominal,-21520
459,nominal,-40793
460,nominal,-44104
461,nominal,-13492
462,nominal,-44496
463,nominal,-41657
464,nominal,-20667
465,nominal,-22185
466,nominal,-21311
467,nominal,-22207
468,nominal,-19693
469,nominal,-44098
470,nominal,-20435
471,nominal,-13488
472,nominal,-21570
473,nominal,-21915
474,nominal,-21015
475,nominal,-21663
476,nominal,-41459
477,nominal,-21453
478,nominal,-21451
479,nominal,-20572
480,nominal,-17596
481,nominal,-20875
482,nominal,-21449
483,nominal,-44016
484,nominal,-23453
485,nominal,-19451
486,nominal,-44078
487,nominal,-42014
488,nominal,-43165
489,nominal,-44713
490,nominal,-18402
491,nominal,-18900
492,nominal,-21883
493,nominal,-21218
494,nominal,-43170
495,nominal,-20778
496,nominal,-22212
497,nominal,-43100
498,nominal,-22500
499,nominal,-22476
500,nominal,-22667
501,nominal,-20662
502,nominal,-18826
503,nominal,-21508
504,nominal,-19694
505,nominal,-44208
506,nominal,-21021
507,nominal,-40644
508,nominal,-44723
509,nominal,-18994
510,nominal,-22976
511,nominal,-18525
512,nominal,-21487
513,nominal,-43743
514,nominal,-20703
515,nominal,-20508
516,nominal,-43194
517,nominal,-21075
518,nominal,-20915
519,nominal,-19608
520,nominal,-42187
521,nominal,-41532
522,nominal,-20964
523,nominal,-43170
524,nominal,-21144
525,nominal,-17917
526,nominal,-24463
527,nominal,-21805
528,nominal,-22757
529,nominal,-21581
530,nominal,-18147
531,nominal,-20390
532,nominal,-41955
533,nominal,-21239
534,nominal,-44493
535,nominal,-44046
536,nominal,-18377
537,nominal,-21295
538,nominal,-16191
539,nominal,-19834
540,nominal,-43691
541,nominal,-43539
542,nominal,-44215
543,nominal,-44268
544,nominal,-22124
545,nominal,-22592
546,nominal,-18859
547,nominal,-42847
548,nominal,-43326
549,nominal,-16267
550,nominal,-44327
551,nominal,-44456
552,nominal,-24131
553,nominal,-20863
554,nominal,-18966
555,nominal,-41042
556,nominal,-21286
557,nominal,-20301
558,nominal,-20333
559,nominal,-24339
560,nominal,-13771
561,nominal,-21315
562,nominal,-20218
563,nominal,-22232
564,nominal,-45155
565,nominal,-43635
566,nominal,-20777
567,nominal,-22123
568,nominal,-19161
569,nominal,-19627
570,nominal,-22085
571,nominal,-42988
572,nominal,-19964
573,nominal,-19493
574,nominal,-20964
575,nominal,-41961
576,nominal,-44127
577,nominal,-19532
578,nominal,-41678
579,nominal,-42762
580,nominal,-16004
581,nominal,-22035
582,nominal,-43373
583,nominal,-42609
584,nominal,-19606
585,nominal,-20442
586,nominal,-18664
587,nominal,-21509
588,nominal,-21623
589,nominal,-43350
590,nominal,-21842
591,nominal,-21547
592,nominal,-20823
593,nominal,-43034
594,nominal,-24569
595,nominal,-25086
596,nominal,-24013
597,nominal,-43706
598,nominal,-41464
599,nominal,-32123
600,nominal,-22361
601,nominal,-22199
602,nominal,-20787
603,nominal,-20496
604,nominal,-20577
605,nominal,-21141
606,nominal,-16452
607,nominal,-24554
608,nominal,-43964
609,nominal,-45088
610,nominal,-23309
611,nominal,-21275
612,nominal,-22741
613,nominal,-19702
614,nominal,-24554
615,nominal,-43220
616,nominal,-22060
617,nominal,-41510
618,nominal,-19957
619,nominal,-22609
620,nominal,-24569
621,nominal,-43906
622,nominal,-23827
623,nominal,-42126
624,nominal,-40263
625,nominal,-16469
626,nominal,-22361
627,nominal,-22348
628,nominal,-21522
629,nominal,-41706
630,nominal,-19991
631,nominal,-21873
632,nominal,-23703
633,nominal,-25825
634,nominal,-18727
635,nominal,-19785
636,nominal,-42233
637,nominal,-20435
638,nominal,-44379
639,nominal,-22477
640,nominal,-20209
641,nominal,-23571
642,nominal,-19234
643,nominal,-21188
644,nominal,-22194
645,nominal,-42664
646,nominal,-19253
647,nominal,-42339
648,nominal,-21351
649,nominal,-45202
650,nominal,-22575
651,nominal,-22118
652,nominal,-21060
653,nominal,-21132
654,nominal,-43704
655,nominal,-43088
656,nominal,-44561
657,nominal,-21271
658,nominal,-20671
659,nominal,-22263
660,nominal,-22071
661,nominal,-20882
662,nominal,-22317
663,nominal,-21371
664,nominal,-42954
665,nominal,-19775
666,nominal,-20402
667,nominal,-44889
668,nominal,-21068
669,nominal,-22474
670,nominal,-18785
671,nominal,-19425
672,nominal,-41138
673,nominal,-21989
674,nominal,-40975
675,nominal,-41917
676,nominal,-43065
677,nominal,-44393
678,nominal,-20579
679,nominal,-16416
680,nominal,-20470
681,nominal,-19704
682,nominal,-22711
683,nominal,-20371
684,nominal,-20627
685,nominal,-22072
686,nominal,-20958
687,nominal,-22720
688,nominal,-24086
689,nominal,-18188
690,nominal,-21480
691,nominal,-41275
692,nominal,-21724
693,nominal,-20770
694,nominal,-42662
695,nominal,-44687
696,nominal,-44258
697,nominal,-20287
698,nominal,-40982
699,nominal,-21524
700,nominal,-19195
701,nominal,-20160
702,nominal,-42573
703,nominal,-19094
704,nominal,-19361
705,nominal,-40934
706,nominal,-20695
707,nominal,-22867
708,nominal,-21445
709,nominal,-18628
710,nominal,-20714
711,nominal,-45210
712,nominal,-19895
713,nominal,-23762
714,nominal,-40090
715,nominal,-21372
716,nominal,-19973
717,nominal,-20149
718,nominal,-18873
719,nominal,-41096
720,nominal,-17826
721,nominal,-23854
722,nominal,-42530
723,nominal,-43961
724,nominal,-46344
725,nominal,-21531
726,nominal,-19556
727,nominal,-22146
728,nominal,-20421
729,nominal,-42165
730,nominal,-22026
731,nominal,-20646
732,nominal,-19779
733,nominal,-41917
734,nominal,-20031
735,nominal,-19990
736,nominal,-23038
737,nominal,-20661
738,nominal,-22779
739,nominal,-18680
740,nominal,-15827
741,nominal,-20947
742,nominal,-21571
743,nominal,-43659
744,nominal,-20768
745,nominal,-20367
746,nominal,-22734
747,nominal,-22495
748,nominal,-20214
749,nominal,-20288
750,nominal,-43572
751,nominal,-22120
752,nominal,-27898
